chapter,item_id,item_index,q_type,reference,question,standard_answer,method,model,generated_answer,score
luke1,uw-174317-open,3,open,文本甲 1:6,人物甲和人物乙为什么是义人？,They walked blamelessly in commandments.,google_word_by_word,llama1b,"At that time, King Judah was a righteous person; his wife was also a descendant of a forefather. Both obeyed all the high master's commands without fault.",1.0
luke1,uw-174317-open,3,open,文本甲 1:6,人物甲和人物乙为什么是义人？,They walked blamelessly in commandments.,google_word_by_word,qwen1.5b,Because they are the highest in justice's sight.,0.0
luke1,uw-174317-open,3,open,文本甲 1:6,人物甲和人物乙为什么是义人？,They walked blamelessly in commandments.,google_word_by_word,qwen1.7b,Person A and Person B are righteous because they ensure the correctness of commands and decrees from the Most High.,1.0
luke1,uw-174317-open,3,open,文本甲 1:6,人物甲和人物乙为什么是义人？,They walked blamelessly in commandments.,mBART-50,llama1b,Person A and Person B are righteous because Person B cannot conceive and both are very old.,0.0
luke1,uw-174317-open,3,open,文本甲 1:6,人物甲和人物乙为什么是义人？,They walked blamelessly in commandments.,mBART-50,qwen1.5b,Because they obeyed Master A's commands.,1.0
luke1,uw-174317-open,3,open,文本甲 1:6,人物甲和人物乙为什么是义人？,They walked blamelessly in commandments.,mBART-50,qwen1.7b,Person A and Person B are righteous because they obeyed Master A's orders and were innocent.,1.0
luke1,uw-174317-open,3,open,文本甲 1:6,人物甲和人物乙为什么是义人？,They walked blamelessly in commandments.,helsinki,llama1b,Because Person A and Person B are both good people.,1.0
luke1,uw-174317-open,3,open,文本甲 1:6,人物甲和人物乙为什么是义人？,They walked blamelessly in commandments.,helsinki,qwen1.5b,They are righteous in the eyes of the Most High,0.0
luke1,uw-174317-open,3,open,文本甲 1:6,人物甲和人物乙为什么是义人？,They walked blamelessly in commandments.,helsinki,qwen1.7b,Most High A considers them all good people.,0.0
luke1,uw-174317-open,3,open,文本甲 1:6,人物甲和人物乙为什么是义人？,They walked blamelessly in commandments.,nllb-200-distilled-600M,llama1b,They are both barren individuals.,0.0
luke1,uw-174317-open,3,open,文本甲 1:6,人物甲和人物乙为什么是义人？,They walked blamelessly in commandments.,nllb-200-distilled-600M,qwen1.5b,Because they fully obey all of Master A's commands and laws.,1.0
luke1,uw-174317-open,3,open,文本甲 1:6,人物甲和人物乙为什么是义人？,They walked blamelessly in commandments.,nllb-200-distilled-600M,qwen1.7b,"Both Person A and Person B are righteous before Most High A, fully obeying all of Master A's commandments and laws.",1.0
luke1,uw-174317-open,3,open,文本甲 1:6,人物甲和人物乙为什么是义人？,They walked blamelessly in commandments.,llm_prompt_low,llama1b,They had no children.,0.0
luke1,uw-174317-open,3,open,文本甲 1:6,人物甲和人物乙为什么是义人？,They walked blamelessly in commandments.,llm_prompt_low,qwen1.5b,They obey all commands and laws without fault.,1.0
luke1,uw-174317-open,3,open,文本甲 1:6,人物甲和人物乙为什么是义人？,They walked blamelessly in commandments.,llm_prompt_low,qwen1.7b,"Both are righteous in the eyes of the Most High, obeying all the master's commands and laws without fault.",1.0
luke1,uw-174317-open,3,open,文本甲 1:6,人物甲和人物乙为什么是义人？,They walked blamelessly in commandments.,llm_prompt_medium,llama1b,They have no children because Person B is infertile.,0.0
luke1,uw-174317-open,3,open,文本甲 1:6,人物甲和人物乙为什么是义人？,They walked blamelessly in commandments.,llm_prompt_medium,qwen1.5b,Because they fully obey all the commands and regulations of Master A.,1.0
luke1,uw-174317-open,3,open,文本甲 1:6,人物甲和人物乙为什么是义人？,They walked blamelessly in commandments.,llm_prompt_medium,qwen1.7b,They are righteous because they fully obeyed all of Master A's commands and laws.,1.0
luke1,uw-174317-open,3,open,文本甲 1:6,人物甲和人物乙为什么是义人？,They walked blamelessly in commandments.,nllb-200-1.3B,llama1b,They are righteous.,1.0
luke1,uw-174317-open,3,open,文本甲 1:6,人物甲和人物乙为什么是义人？,They walked blamelessly in commandments.,nllb-200-1.3B,qwen1.5b,Because they obeyed all of Master A's commandments and laws.,1.0
luke1,uw-174317-open,3,open,文本甲 1:6,人物甲和人物乙为什么是义人？,They walked blamelessly in commandments.,nllb-200-1.3B,qwen1.7b,They obeyed all Commandments and laws of Master A.,1.0
luke1,uw-174317-open,3,open,文本甲 1:6,人物甲和人物乙为什么是义人？,They walked blamelessly in commandments.,llm_prompt_high,llama1b,They have no children.,0.0
luke1,uw-174317-open,3,open,文本甲 1:6,人物甲和人物乙为什么是义人？,They walked blamelessly in commandments.,llm_prompt_high,qwen1.5b,Because both have flawless righteous deeds before the Most High.,1.0
luke1,uw-174317-open,3,open,文本甲 1:6,人物甲和人物乙为什么是义人？,They walked blamelessly in commandments.,llm_prompt_high,qwen1.7b,Person A and Person B are righteous because they follow the commandments and statutes of the Most High A.,1.0
luke1,uw-174317-mcq,4,mcq,文本甲 1:6,为什么人物甲和人物乙被认为是义人？,They walked blamelessly in commandments.,google_word_by_word,llama1b,D (correct D),1.0
luke1,uw-174317-mcq,4,mcq,文本甲 1:6,人物甲和人物乙为什么被认为是义人？,They walked blamelessly in commandments.,google_word_by_word,qwen1.5b,D (correct D),1.0
luke1,uw-174317-mcq,4,mcq,文本甲 1:6,人物甲和人物乙为什么被认为是义人？,They walked blamelessly in commandments.,google_word_by_word,qwen1.7b,D (correct D),1.0
luke1,uw-174317-mcq,4,mcq,文本甲 1:6,为什么人物甲和人物乙被认为是义人？,They walked blamelessly in commandments.,mBART-50,llama1b,None (correct D),0.0
luke1,uw-174317-mcq,4,mcq,文本甲 1:6,人物甲和人物乙为什么被认为是义人？,They walked blamelessly in commandments.,mBART-50,qwen1.5b,D (correct D),1.0
luke1,uw-174317-mcq,4,mcq,文本甲 1:6,人物甲和人物乙为什么被认为是义人？,They walked blamelessly in commandments.,mBART-50,qwen1.7b,D (correct D),1.0
luke1,uw-174317-mcq,4,mcq,文本甲 1:6,为什么人物甲和人物乙被认为是义人？,They walked blamelessly in commandments.,helsinki,llama1b,A (correct D),0.0
luke1,uw-174317-mcq,4,mcq,文本甲 1:6,人物甲和人物乙为什么被认为是义人？,They walked blamelessly in commandments.,helsinki,qwen1.5b,D (correct D),1.0
luke1,uw-174317-mcq,4,mcq,文本甲 1:6,人物甲和人物乙为什么被认为是义人？,They walked blamelessly in commandments.,helsinki,qwen1.7b,D (correct D),1.0
luke1,uw-174317-mcq,4,mcq,文本甲 1:6,为什么人物甲和人物乙被认为是义人？,They walked blamelessly in commandments.,nllb-200-distilled-600M,llama1b,None (correct D),0.0
luke1,uw-174317-mcq,4,mcq,文本甲 1:6,人物甲和人物乙为什么被认为是义人？,They walked blamelessly in commandments.,nllb-200-distilled-600M,qwen1.5b,D (correct D),1.0
luke1,uw-174317-mcq,4,mcq,文本甲 1:6,人物甲和人物乙为什么被认为是义人？,They walked blamelessly in commandments.,nllb-200-distilled-600M,qwen1.7b,D (correct D),1.0
luke1,uw-174317-mcq,4,mcq,文本甲 1:6,为什么人物甲和人物乙被认为是义人？,They walked blamelessly in commandments.,llm_prompt_low,llama1b,None (correct D),0.0
luke1,uw-174317-mcq,4,mcq,文本甲 1:6,人物甲和人物乙为什么被认为是义人？,They walked blamelessly in commandments.,llm_prompt_low,qwen1.5b,D (correct D),1.0
luke1,uw-174317-mcq,4,mcq,文本甲 1:6,人物甲和人物乙为什么被认为是义人？,They walked blamelessly in commandments.,llm_prompt_low,qwen1.7b,D (correct D),1.0
luke1,uw-174317-mcq,4,mcq,文本甲 1:6,为什么人物甲和人物乙被认为是义人？,They walked blamelessly in commandments.,llm_prompt_medium,llama1b,None (correct D),0.0
luke1,uw-174317-mcq,4,mcq,文本甲 1:6,人物甲和人物乙为什么被认为是义人？,They walked blamelessly in commandments.,llm_prompt_medium,qwen1.5b,D (correct D),1.0
luke1,uw-174317-mcq,4,mcq,文本甲 1:6,人物甲和人物乙为什么被认为是义人？,They walked blamelessly in commandments.,llm_prompt_medium,qwen1.7b,D (correct D),1.0
luke1,uw-174317-mcq,4,mcq,文本甲 1:6,为什么人物甲和人物乙被认为是义人？,They walked blamelessly in commandments.,nllb-200-1.3B,llama1b,D (correct D),1.0
luke1,uw-174317-mcq,4,mcq,文本甲 1:6,人物甲和人物乙为什么被认为是义人？,They walked blamelessly in commandments.,nllb-200-1.3B,qwen1.5b,D (correct D),1.0
luke1,uw-174317-mcq,4,mcq,文本甲 1:6,人物甲和人物乙为什么被认为是义人？,They walked blamelessly in commandments.,nllb-200-1.3B,qwen1.7b,D (correct D),1.0
luke1,uw-174317-mcq,4,mcq,文本甲 1:6,为什么人物甲和人物乙被认为是义人？,They walked blamelessly in commandments.,llm_prompt_high,llama1b,D (correct D),1.0
luke1,uw-174317-mcq,4,mcq,文本甲 1:6,人物甲和人物乙为什么被认为是义人？,They walked blamelessly in commandments.,llm_prompt_high,qwen1.5b,D (correct D),1.0
luke1,uw-174317-mcq,4,mcq,文本甲 1:6,人物甲和人物乙为什么被认为是义人？,They walked blamelessly in commandments.,llm_prompt_high,qwen1.7b,D (correct D),1.0
luke1,uw-174318-open,5,open,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,google_word_by_word,llama1b,Both had no children.,1.0
luke1,uw-174318-open,5,open,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,google_word_by_word,qwen1.5b,Because Person B is not capable.,1.0
luke1,uw-174318-open,5,open,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,google_word_by_word,qwen1.7b,"Person B was a descendant without ability, and both are old.",1.0
luke1,uw-174318-open,5,open,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,mBART-50,llama1b,Person B cannot conceive.,1.0
luke1,uw-174318-open,5,open,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,mBART-50,qwen1.5b,Person B cannot conceive.,1.0
luke1,uw-174318-open,5,open,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,mBART-50,qwen1.7b,"Person B was unable to conceive and was old, leading to Person A and Person B having no children.",1.0
luke1,uw-174318-open,5,open,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,helsinki,llama1b,Person A and Person B have no children because Person B cannot conceive and they are both very old.,1.0
luke1,uw-174318-open,5,open,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,helsinki,qwen1.5b,Person B cannot conceive,1.0
luke1,uw-174318-open,5,open,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,helsinki,qwen1.7b,Person B cannot conceive and both are old.,1.0
luke1,uw-174318-open,5,open,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,nllb-200-distilled-600M,llama1b,Person B is barren.,1.0
luke1,uw-174318-open,5,open,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,nllb-200-distilled-600M,qwen1.5b,Person B is infertile.,1.0
luke1,uw-174318-open,5,open,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,nllb-200-distilled-600M,qwen1.7b,"Person B was barren and old, so Person A and Person B had no children.",1.0
luke1,uw-174318-open,5,open,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,llm_prompt_low,llama1b,They could not conceive.,1.0
luke1,uw-174318-open,5,open,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,llm_prompt_low,qwen1.5b,Person B cannot conceive.,1.0
luke1,uw-174318-open,5,open,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,llm_prompt_low,qwen1.7b,Person B cannot conceive and they are old.,1.0
luke1,uw-174318-open,5,open,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,llm_prompt_medium,llama1b,They have no children because Person B is infertile.,1.0
luke1,uw-174318-open,5,open,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,llm_prompt_medium,qwen1.5b,Person B cannot conceive.,1.0
luke1,uw-174318-open,5,open,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,llm_prompt_medium,qwen1.7b,"Person B cannot conceive, and they are both old.",1.0
luke1,uw-174318-open,5,open,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,nllb-200-1.3B,llama1b,They are both old.,0.0
luke1,uw-174318-open,5,open,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,nllb-200-1.3B,qwen1.5b,Person B is infertile.,1.0
luke1,uw-174318-open,5,open,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,nllb-200-1.3B,qwen1.7b,"Person B was infertile, and both were old.",1.0
luke1,uw-174318-open,5,open,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,llm_prompt_high,llama1b,They have no children because Person B is not pregnant.,1.0
luke1,uw-174318-open,5,open,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,llm_prompt_high,qwen1.5b,Person B cannot conceive.,1.0
luke1,uw-174318-open,5,open,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,llm_prompt_high,qwen1.7b,Person B could not conceive.,1.0
luke1,uw-174318-mcq,6,mcq,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,google_word_by_word,llama1b,None (correct D),0.0
luke1,uw-174318-mcq,6,mcq,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,google_word_by_word,qwen1.5b,D (correct D),1.0
luke1,uw-174318-mcq,6,mcq,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,google_word_by_word,qwen1.7b,D (correct D),1.0
luke1,uw-174318-mcq,6,mcq,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,mBART-50,llama1b,D (correct D),1.0
luke1,uw-174318-mcq,6,mcq,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,mBART-50,qwen1.5b,D (correct D),1.0
luke1,uw-174318-mcq,6,mcq,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,mBART-50,qwen1.7b,D (correct D),1.0
luke1,uw-174318-mcq,6,mcq,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,helsinki,llama1b,C (correct D),0.0
luke1,uw-174318-mcq,6,mcq,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,helsinki,qwen1.5b,D (correct D),1.0
luke1,uw-174318-mcq,6,mcq,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,helsinki,qwen1.7b,D (correct D),1.0
luke1,uw-174318-mcq,6,mcq,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,nllb-200-distilled-600M,llama1b,None (correct D),0.0
luke1,uw-174318-mcq,6,mcq,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,nllb-200-distilled-600M,qwen1.5b,D (correct D),1.0
luke1,uw-174318-mcq,6,mcq,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,nllb-200-distilled-600M,qwen1.7b,D (correct D),1.0
luke1,uw-174318-mcq,6,mcq,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,llm_prompt_low,llama1b,C (correct D),0.0
luke1,uw-174318-mcq,6,mcq,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,llm_prompt_low,qwen1.5b,D (correct D),1.0
luke1,uw-174318-mcq,6,mcq,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,llm_prompt_low,qwen1.7b,D (correct D),1.0
luke1,uw-174318-mcq,6,mcq,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,llm_prompt_medium,llama1b,C (correct D),0.0
luke1,uw-174318-mcq,6,mcq,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,llm_prompt_medium,qwen1.5b,D (correct D),1.0
luke1,uw-174318-mcq,6,mcq,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,llm_prompt_medium,qwen1.7b,D (correct D),1.0
luke1,uw-174318-mcq,6,mcq,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,nllb-200-1.3B,llama1b,C (correct D),0.0
luke1,uw-174318-mcq,6,mcq,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,nllb-200-1.3B,qwen1.5b,D (correct D),1.0
luke1,uw-174318-mcq,6,mcq,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,nllb-200-1.3B,qwen1.7b,D (correct D),1.0
luke1,uw-174318-mcq,6,mcq,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,llm_prompt_high,llama1b,C (correct D),0.0
luke1,uw-174318-mcq,6,mcq,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,llm_prompt_high,qwen1.5b,D (correct D),1.0
luke1,uw-174318-mcq,6,mcq,文本甲 1:7,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,llm_prompt_high,qwen1.7b,D (correct D),1.0
luke1,uw-174322-open,7,open,文本甲 1:11,谁在圣殿向人物甲显现？,An angel of the Master A.,google_word_by_word,llama1b,An angel.,1.0
luke1,uw-174322-open,7,open,文本甲 1:11,谁在圣殿向人物甲显现？,An angel of the Master A.,google_word_by_word,qwen1.5b,Angel.,1.0
luke1,uw-174322-open,7,open,文本甲 1:11,谁在圣殿向人物甲显现？,An angel of the Master A.,google_word_by_word,qwen1.7b,An angel.,1.0
luke1,uw-174322-open,7,open,文本甲 1:11,谁在圣殿向人物甲显现？,An angel of the Master A.,mBART-50,llama1b,Master A appeared in the temple to Person A.,0.0
luke1,uw-174322-open,7,open,文本甲 1:11,谁在圣殿向人物甲显现？,An angel of the Master A.,mBART-50,qwen1.5b,Messenger B.,0.0
luke1,uw-174322-open,7,open,文本甲 1:11,谁在圣殿向人物甲显现？,An angel of the Master A.,mBART-50,qwen1.7b,Master A's Messenger B appeared in the temple to Person A.,1.0
luke1,uw-174322-open,7,open,文本甲 1:11,谁在圣殿向人物甲显现？,An angel of the Master A.,helsinki,llama1b,The Lord's Messenger B.,1.0
luke1,uw-174322-open,7,open,文本甲 1:11,谁在圣殿向人物甲显现？,An angel of the Master A.,helsinki,qwen1.5b,The angel of Master A appeared to Person A in the temple,1.0
luke1,uw-174322-open,7,open,文本甲 1:11,谁在圣殿向人物甲显现？,An angel of the Master A.,helsinki,qwen1.7b,The master's angel appeared to Person A in the temple.,1.0
luke1,uw-174322-open,7,open,文本甲 1:11,谁在圣殿向人物甲显现？,An angel of the Master A.,nllb-200-distilled-600M,llama1b,The Lord's messenger.,1.0
luke1,uw-174322-open,7,open,文本甲 1:11,谁在圣殿向人物甲显现？,An angel of the Master A.,nllb-200-distilled-600M,qwen1.5b,An angel.,1.0
luke1,uw-174322-open,7,open,文本甲 1:11,谁在圣殿向人物甲显现？,An angel of the Master A.,nllb-200-distilled-600M,qwen1.7b,Person B appeared to Person A in the temple.,0.0
luke1,uw-174322-open,7,open,文本甲 1:11,谁在圣殿向人物甲显现？,An angel of the Master A.,llm_prompt_low,llama1b,An angel.,1.0
