chapter,kind,method,level,verse,cometkiwi,src,mt
1,method,google_word_by_word,,15,0.462170,"for he will be great in the sight of the Lord. He is never to take wine or other fermented drink, and he will be filled with the Holy Spirit even before he is born.",为了 他 将要 是 伟大的 在 这 视线 的 这 __MASTER_A__. 他 是 绝不 到 拿 葡萄酒 或者 其他 发酵的 喝， 和 他 将要 是 充满 和 这 __SPIRIT_A__ 甚至 前 他 是 出生。
1,method,google_word_by_word,,16,0.346923,He will bring back many of the people of Israel to the Lord their God.,他 将要 带来 后退 许多 的 这 人们 的 __PEOPLE_A__ 到 这 __MASTER_A__ 他们的 __MOST_HIGH_A__.
1,method,google_word_by_word,,17,0.389446,"And he will go on before the Lord, in the spirit and power of Elijah, to turn the hearts of the parents to their children and the disobedient to the wisdom of the righteous—to make ready a people prepared for the Lord.”","号 和 他 将要 去 在 前 这 __MASTER_A__, 在 这 精神 和 力量 的 __PROPHET_A__, 到 转动 这 心 的 这 父母 到 他们的 __LOCAL_ENTITY_01__ 和 这 忤 到 这 智慧 的 这 正义——至 制作 准备好 一个 人们 准备好了 为了 这 __master_a__。”"
1,method,google_word_by_word,,18,0.520032,"Zechariah asked the angel, “How can I be sure of this? I am an old man and my wife is well along in years.”",__PERSON_A__ 问 这 天使， “如何 能 我 是 当然 的 这？ 我 是 一个 老的 男人 和 我的 妻子 是 出色地 沿着 在 年。”
1,method,google_word_by_word,,19,0.524616,"The angel said to him, “I am Gabriel. I stand in the presence of God, and I have been sent to speak to you and to tell you this good news.","这 天使 说 到 他， “我 是 __MESSENGER_B__. 我 站立 在 这 在场 的 __MOST_HIGH_A__, 和 我 有 到过 发送 到 说话 到 你 和 到 告诉 你 这 好的 消息。"
1,method,google_word_by_word,,20,0.544502,"And now you will be silent and not able to speak until the day this happens, because you did not believe my words, which will come true at their appointed time.”",和 现在 你 将要 是 沉默的 和 不是 有能力的 到 说话 直到 这 天 这 发生， 因为 你 做过 不是 相信 我的 字， 哪个 将要 来 真的 在 他们的 任命 时间。”
1,method,google_word_by_word,,21,0.396534,"Meanwhile, the people were waiting for Zechariah and wondering why he stayed so long in the temple.",同时， 这 人们 是 等待 为了 __PERSON_A__ 和 想知道 为什么 他 留下来 所以 长的 在 这 __PLACE_A__.
1,method,google_word_by_word,,22,0.403335,"When he came out, he could not speak to them. They realized he had seen a vision in the temple, for he kept making signs to them but remained unable to speak.","什么时候 他 来了 出去， 他 可以 不是 说话 到 他们。 他们 实现了 他 有 见过 一个 想象 在 这 __PLACE_A__, 为了 他 保留 制作 迹象 到 他们 但 留下来 无法 到 说话。"
1,method,google_word_by_word,,23,0.529515,"When his time of service was completed, he returned home.",什么时候 他的 时间 的 服务 曾是 完全的， 他 返回 家。
1,method,google_word_by_word,,24,0.564914,After this his wife Elizabeth became pregnant and for five months remained in seclusion.,后 这 他的 妻子 __PERSON_B__ 成为 孕 和 为了 五 月 留下来 在 隔离。
1,method,google_word_by_word,,25,0.434982,"“The Lord has done this for me,” she said. “In these days he has shown his favor and taken away my disgrace among the people.”

The Birth of Jesus Foretold","“这 __MASTER_A__ 有 完毕 这 为了 我，” 她 说。 “在 这些 天 他 有 显示 他的 青睐 和 采取 离开 我的 耻辱 之中 这 人们。”

这 出生 的 __PERSON_F__ 预言的"
1,method,google_word_by_word,,26,0.357837,"In the sixth month of Elizabeth’s pregnancy, God sent the angel Gabriel to Nazareth, a town in Galilee,","在 这 第六 月 的 __PERSON_B__ 怀孕， __MOST_HIGH_A__ 发送 这 天使 __MESSENGER_B__ 到 __VILLAGE_A__, 一个 镇 在 __REGION_A__,"
1,method,google_word_by_word,,27,0.342256,"to a virgin pledged to be married to a man named Joseph, a descendant of David. The virgin’s name was Mary.","到 一个 __LOCAL_ROLE_03__ 承诺的 到 是 已婚 到 一个 男人 命名的 __PERSON_E__, 一个 后裔 的 __KING_A__. 这 __local_role_03__ 的 姓名 曾是 __PERSON_D__."
1,method,google_word_by_word,,28,0.504368,"The angel went to her and said, “Greetings, you who are highly favored! The Lord is with you.”",这 天使 去了 到 她 和 说， “问候， 你 WHO 是 高度 受青睐！ 这 __MASTER_A__ 是 和 你。”
1,method,google_word_by_word,,29,0.525321,Mary was greatly troubled at his words and wondered what kind of greeting this might be.,__PERSON_D__ 曾是 大大地 陷入困境的 在 他的 字 和 想知道 什么 种类 的 问候语 这 可能 是。
1,method,google_word_by_word,,30,0.371319,"But the angel said to her, “Do not be afraid, Mary; you have found favor with God.",但 这 天使 说 到 她， “做 不是 是 害怕的， __PERSON_D__; 你 有 成立 青睐 和 __MOST_HIGH_A__.
1,method,google_word_by_word,,31,0.471045,"You will conceive and give birth to a son, and you are to call him Jesus.",你 将要 构想 和 给 出生 到 一个 儿子， 和 你 是 到 称呼 他 __PERSON_F__.
1,method,google_word_by_word,,32,0.406837,"He will be great and will be called the Son of the Most High. The Lord God will give him the throne of his father David,","他 将要 是 伟大的 和 将要 是 被称为 这 儿子 的 这 __HONORED_A__. 这 __MASTER_A__ __MOST_HIGH_A__ 将要 给 他 这 王座 的 他的 父亲 __KING_A__,"
1,method,google_word_by_word,,33,0.616010,and he will reign over Jacob’s descendants forever; his kingdom will never end.”,和 他 将要 在位 超过 __ANCESTOR_B__ 后裔 永远; 他的 王国 将要 绝不 结尾。”
1,method,google_word_by_word,,34,0.334507,"“How will this be,” Mary asked the angel, “since I am a virgin?”",“如何 将要 这 是，” __PERSON_D__ 问 这 天使， “自从 我 是 一个 __local_role_03__？”
1,method,google_word_by_word,,35,0.482526,"The angel answered, “The Holy Spirit will come on you, and the power of the Most High will overshadow you. So the holy one to be born will be called the Son of God.",这 天使 回答说， “这 __SPIRIT_A__ 将要 来 在 你， 和 这 力量 的 这 __HONORED_A__ 将要 蒙上阴影 你。 所以 这 圣 一 到 是 出生 将要 是 称为 这 儿子 的 __MOST_HIGH_A__.
1,method,google_word_by_word,,36,0.371391,"Even Elizabeth your relative is going to have a child in her old age, and she who was said to be unable to conceive is in her sixth month.",甚至 __PERSON_B__ 你的 相对的 是 去 到 有 一个 __LOCAL_ENTITY_01__ 在 她 老的 年龄， 和 她 WHO 曾是 说 到 是 无法 到 构想 是 在 她 第六 月。
1,method,google_word_by_word,,37,0.340939,For no word from God will ever fail.”,为了 不 单词 从 __MOST_HIGH_A__ 将要 曾经 失败。”
1,method,google_word_by_word,,38,0.307893,"“I am the Lord’s servant,” Mary answered. “May your word to me be fulfilled.” Then the angel left her.

Mary Visits Elizabeth","“我 是 这 __MASTER_A__ __LOCAL_ROLE_02__,” __PERSON_D__ 回答道。 “可能 你的 单词 到 我 是 履行了。” 然后 这 天使 左边 她。

__人_d__ 访问 __人_b__"
1,method,google_word_by_word,,39,0.393963,"At that time Mary got ready and hurried to a town in the hill country of Judea,","在 那 时间 __PERSON_D__ 得到 准备好 和 慌忙 到 一个 镇 在 这 __LOCAL_PLACE_02__,"
1,method,google_word_by_word,,40,0.421542,where she entered Zechariah’s home and greeted Elizabeth.,在哪里 她 进入 __PERSON_A__ 家 和 打招呼 __PERSON_B__.
1,method,google_word_by_word,,41,0.396719,"When Elizabeth heard Mary’s greeting, the baby leaped in her womb, and Elizabeth was filled with the Holy Spirit.","什么时候 __PERSON_B__ 听到 __PERSON_D__ 问候语, 这 婴儿 跳跃 在 她 子宫， 和 __PERSON_B__ 曾是 充满 和 这 __SPIRIT_A__."
1,method,google_word_by_word,,42,0.457314,"In a loud voice she exclaimed: “Blessed are you among women, and blessed is the child you will bear!",在 一个 大声 嗓音 她 惊呼道： “有福了 是 你 之中 女性， 和 有福的 是 这 __LOCAL_ENTITY_01__ 你 将要 熊！
1,method,google_word_by_word,,43,0.510828,"But why am I so favored, that the mother of my Lord should come to me?",但 为什么 是 我 所以 受青睐， 那 这 母亲 的 我的 __MASTER_A__ 应该 来 到 我？
1,method,google_word_by_word,,44,0.553546,"As soon as the sound of your greeting reached my ears, the baby in my womb leaped for joy.","作为 很快 作为 这 声音 的 你的 问候语 达到 我的 耳朵, 这 婴儿 在 我的 子宫 跳跃 为了 喜悦。"
1,method,google_word_by_word,,45,0.442602,"Blessed is she who has believed that the Lord would fulfill his promises to her!”

Mary’s Song","有福的 是 她 WHO 有 相信 那 这 __MASTER_A__ 会 实现 他的 承诺 到 她！”

__人_d__ 歌曲"
1,method,google_word_by_word,,46,0.390467,"And Mary said:

“My soul glorifies the Lord","和 __PERSON_D__ 说：

“我的 灵魂 颂扬 这 __master_a__"
1,method,google_word_by_word,,47,0.500909,"and my spirit rejoices in God my Savior,",和 我的 精神 高兴 在 __MOST_HIGH_A__ 我的 救世主，
1,method,google_word_by_word,,48,0.477863,"for he has been mindful
    of the humble state of his servant.
From now on all generations will call me blessed,","为了 他 有 到过 正念的    的 这 谦逊的 状态 的 他的 __local_role_02__。
从 现在 在 全部 几代人 将要 称呼 我 受祝福的,"
1,method,google_word_by_word,,49,0.520906,"for the Mighty One has done great things for me—
    holy is his name.",为了 这 强大的 一 有 完毕 伟大的 事物 为了 我-    圣 是 他的 姓名。
1,method,google_word_by_word,,50,0.825546,"His mercy extends to those who fear him,
    from generation to generation.",他的 怜悯 延伸 到 那些 WHO 害怕 他，    从 一代 到 一代。
1,method,google_word_by_word,,51,0.544543,"He has performed mighty deeds with his arm;
    he has scattered those who are proud in their inmost thoughts.",他 有 执行的 强大的 事迹 和 他的 手臂;    他 有 疏散 那些 WHO 是 自豪的 在 他们的 最里面 想法。
1,method,google_word_by_word,,52,0.560407,"He has brought down rulers from their thrones
    but has lifted up the humble.",他 有 带来 向下 统治者 从 他们的 王座    但 有 举起 向上 这 谦逊的。
1,method,google_word_by_word,,53,0.518921,"He has filled the hungry with good things
    but has sent the rich away empty.",他 有 充满 这 饥饿的 和 好的 事物    但 有 发送 这 富有的 离开 空的。
1,method,google_word_by_word,,54,0.407907,"He has helped his servant Israel,
    remembering to be merciful","他 有 帮助了 他的 __LOCAL_ROLE_02__ __PEOPLE_A__,
    回忆 到 是 仁慈的"
1,method,google_word_by_word,,55,0.496185,"to Abraham and his descendants forever,
    just as he promised our ancestors.”",到 __ANCESTOR_A__ 和 他的 后裔 永远，    只是 作为 他 答应的 我们的 祖先。”
1,method,google_word_by_word,,56,0.346473,"Mary stayed with Elizabeth for about three months and then returned home.

The Birth of John the Baptist","__PERSON_D__ 留下来 和 __PERSON_B__ 为了 关于 三 月 和 然后 返回 家。

这 出生 的 __PERSON_C__ 这 浸信会"
1,method,google_word_by_word,,57,0.401980,"When it was time for Elizabeth to have her baby, she gave birth to a son.",什么时候 它 曾是 时间 为了 __PERSON_B__ 到 有 她 婴儿， 她 给了 出生 到 一个 儿子。
1,method,google_word_by_word,,58,0.585256,"Her neighbors and relatives heard that the Lord had shown her great mercy, and they shared her joy.",她 邻居 和 亲属 听到 那 这 __MASTER_A__ 有 显示 她 伟大的 怜悯， 和 他们 共享 她 喜悦。
1,method,google_word_by_word,,59,0.431545,"On the eighth day they came to circumcise the child, and they were going to name him after his father Zechariah,","在 这 第八 天 他们 来了 到 割礼 这 __LOCAL_ENTITY_01__, 和 他们 是 去 到 姓名 他 后 他的 父亲 __PERSON_A__,"
1,method,google_word_by_word,,60,0.474228,"but his mother spoke up and said, “No! He is to be called John.”",但 他的 母亲 辐 向上 和 说， “不！ 他 是 到 是 被称为 __person_c__。”
1,method,google_word_by_word,,61,0.569747,"They said to her, “There is no one among your relatives who has that name.”",他们 说 到 她， “那里 是 不 一 之中 你的 亲属 WHO 有 那 姓名。”
1,method,google_word_by_word,,62,0.425771,"Then they made signs to his father, to find out what he would like to name the child.",然后 他们 制成 迹象 到 他的 父亲， 到 寻找 出去 什么 他 会 喜欢 到 姓名 这 __LOCAL_ENTITY_01__.
1,method,google_word_by_word,,63,0.441142,"He asked for a writing tablet, and to everyone’s astonishment he wrote, “His name is John.”",他 问 为了 一个 写作 药片， 和 到 每个人的 惊讶 他 写道， “他的 姓名 是 __PERSON_C__.”
1,method,google_word_by_word,,64,0.482888,"Immediately his mouth was opened and his tongue set free, and he began to speak, praising God.",立即地 他的 嘴 曾是 打开 和 他的 舌头 放 自由的， 和 他 开始 到 说话， 赞美 __MOST_HIGH_A__.
1,method,google_word_by_word,,65,0.487876,"All the neighbors were filled with awe, and throughout the hill country of Judea people were talking about all these things.",全部 这 邻居 是 充满 和 敬畏， 和 自始至终 这 __LOCAL_PLACE_02__ 人们 是 说 关于 全部 这些 事物。
1,method,google_word_by_word,,66,0.327429,"Everyone who heard this wondered about it, asking, “What then is this child going to be?” For the Lord’s hand was with him.

Zechariah’s Song","每个人 WHO 听到 这 想知道 关于 它， 问， “什么 然后 是 这 __LOCAL_ENTITY_01__ 去 到 是？” 为了 这 __MASTER_A__ 手 曾是 和 他。

__人_a__ 歌曲"
1,method,google_word_by_word,,67,0.404023,His father Zechariah was filled with the Holy Spirit and prophesied:,他的 父亲 __PERSON_A__ 曾是 充满 和 这 __SPIRIT_A__ 和 预言：
1,method,google_word_by_word,,68,0.429303,"“Praise be to the Lord, the God of Israel,
    because he has come to his people and redeemed them.","“称赞 是 到 这 __MASTER_A__, 这 __MOST_HIGH_A__ 的 __PEOPLE_A__,
    因为 他 有 来 到 他的 人们 和 赎回 他们。"
1,method,google_word_by_word,,69,0.358156,"He has raised up a horn of salvation for us
    in the house of his servant David",他 有 凸起 向上 一个 号角 的 救恩 为了 我们    在 这 房子 的 他的 __LOCAL_ROLE_02__ __国王_a__
1,method,google_word_by_word,,70,0.357002,"(as he said through his holy prophets of long ago),",（作为 他 说 通过 他的 圣 __LOCAL_ROLE_01__ 的 长的 前），
1,method,google_word_by_word,,71,0.560155,"salvation from our enemies
    and from the hand of all who hate us—",救恩 从 我们的 敌人    和 从 这 手 的 全部 WHO 恨 我们——
1,method,google_word_by_word,,72,0.734454,"to show mercy to our ancestors
    and to remember his holy covenant,",到 展示 怜悯 到 我们的 祖先    和 到 记住 他的 圣 盟约，
1,method,google_word_by_word,,73,0.459724,the oath he swore to our father Abraham:,这 誓言 他 发誓 到 我们的 父亲 __祖先_a__：
1,method,google_word_by_word,,74,0.572723,"to rescue us from the hand of our enemies,
    and to enable us to serve him without fear",到 救援 我们 从 这 手 的 我们的 敌人，    和 到 使能够 我们 到 服务 他 没有 恐惧
1,method,google_word_by_word,,75,0.477681,in holiness and righteousness before him all our days.,在 圣洁 和 义 前 他 全部 我们的 天。
1,method,google_word_by_word,,76,0.312369,"And you, my child, will be called a prophet of the Most High;
    for you will go on before the Lord to prepare the way for him,","和 你， 我的 __LOCAL_ENTITY_01__, 将要 是 被称为 一个 __LOCAL_ROLE_01__ 的 这 __HONORED_A__;
    为了 你 将要 去 在 前 这 __MASTER_A__ 到 准备 这 方式 为了 他，"
1,method,google_word_by_word,,77,0.600660,"to give his people the knowledge of salvation
    through the forgiveness of their sins,",到 给 他的 人们 这 知识 的 救恩    通过 这 饶恕 的 他们的 罪恶，
1,method,google_word_by_word,,78,0.439053,"because of the tender mercy of our God,
    by which the rising sun will come to us from heaven","因为 的 这 投标 怜悯 的 我们的 __MOST_HIGH_A__,
    经过 哪个 这 上升 太阳 将要 来 到 我们 从 天堂"
1,method,google_word_by_word,,79,0.629283,"to shine on those living in darkness
    and in the shadow of death,
to guide our feet into the path of peace.”","到 闪耀 在 那些 活的 在 黑暗    和 在 这 阴影 的 死亡，
到 指导 我们的 脚 进入 这 小路 的 和平。”"
1,method,google_word_by_word,,80,0.458957,And the child grew and became strong in spirit; and he lived in the wilderness until he appeared publicly to Israel.,和 这 __LOCAL_ENTITY_01__ 成长了 和 成为 强的 在 精神; 和 他 住过 在 这 荒野 直到 他 出现了 公开地 到 __PEOPLE_A__.
1,method,llm_prompt_low,,1,0.617974,"Many have undertaken to draw up an account of the things that have been fulfilled among us,",许多人尝试写下发生在我们中间的事情的账户，
1,method,llm_prompt_low,,2,0.514154,just as they were handed down to us by those who from the first were eyewitnesses and servants of the word.,就像那些从头开始是目击者和__LOCAL_ROLE_02__话语的人传下来的那样。
1,method,llm_prompt_low,,3,0.579749,"With this in mind, since I myself have carefully investigated everything from the beginning, I too decided to write an orderly account for you, most excellent Theophilus,",有了这个想法，因为我自己从头开始仔细调查了一切，我也决定为你，有最优秀的__RECIPIENT_A__，写一个有序的账户，
1,method,llm_prompt_low,,4,0.723278,"so that you may know the certainty of the things you have been taught.

The Birth of John the Baptist Foretold","这样你可以知道你所被教导的事情的确定性。

约翰的出生预告"
1,method,llm_prompt_low,,5,0.449522,"In the time of Herod king of Judea there was a priest named Zechariah, who belonged to the priestly division of Abijah; his wife Elizabeth was also a descendant of Aaron.",在__LOCAL_PLACE_01__的国王__RULER_A__的时候，有一位叫__PERSON_A__的__WORKER_A__，属于__DIVISION_A__的祭司分支；他的妻子__PERSON_B__也是__FOREFATHER_B__的后代。
1,method,llm_prompt_low,,6,0.662007,"Both of them were righteous in the sight of God, observing all the Lord’s commands and decrees blamelessly.",他们两人都在__MOST_HIGH_A__眼中是公义的，遵守所有__MASTER_A__的命令和法令毫无瑕疵。
1,method,llm_prompt_low,,7,0.622242,"But they were childless because Elizabeth was not able to conceive, and they were both very old.",但是他们无子，因为__PERSON_B__不能怀孕，他们都很老了。
1,method,llm_prompt_low,,8,0.355661,"Once when Zechariah’s division was on duty and he was serving as priest before God,",有一次__PERSON_A__的分支值班，他在__MOST_HIGH_A__面前当__WORKER_A__，
1,method,llm_prompt_low,,9,0.557629,"he was chosen by lot, according to the custom of the priesthood, to go into the temple of the Lord and burn incense.",按照祭司制度的习惯，他通过抽签被选中进入__MASTER_A__的__PLACE_A__，烧香料__MATERIAL_A__。
1,method,llm_prompt_low,,10,0.540746,"And when the time for the burning of incense came, all the assembled worshipers were praying outside.",当烧香料__MATERIAL_A__的时间到了，所有聚集的敬拜者都在外面是__REQUEST_A__。
1,method,llm_prompt_low,,11,0.465386,"Then an angel of the Lord appeared to him, standing at the right side of the altar of incense.",然后__MASTER_A__的一位天使出现在他面前，站在__LOCAL_OBJECT_01__的右边。
1,method,llm_prompt_low,,12,0.502435,"When Zechariah saw him, he was startled and was gripped with fear.",当__PERSON_A__看到他，他感到震惊并被恐惧抓住。
1,method,llm_prompt_low,,13,0.695918,"But the angel said to him: “Do not be afraid, Zechariah; your prayer has been heard. Your wife Elizabeth will bear you a son, and you are to call him John.",但是天使对他说：“不要害怕，__PERSON_A__；你的__REQUEST_A__已经被听见。你的妻子__PERSON_B__将会给你生一个儿子，你要给他起名叫__PERSON_C__。
1,method,llm_prompt_low,,14,0.862310,"He will be a joy and delight to you, and many will rejoice because of his birth,",他将给你带来喜悦和快乐，许多人将因他的诞生而高兴，
1,method,llm_prompt_low,,15,0.603193,"for he will be great in the sight of the Lord. He is never to take wine or other fermented drink, and he will be filled with the Holy Spirit even before he is born.",因为他在__MASTER_A__眼中将是伟大的。他绝不喝酒和其它发酵饮料，在出生前就充满了__SPIRIT_A__。
1,method,llm_prompt_low,,16,0.417398,He will bring back many of the people of Israel to the Lord their God.,他将使许多__PEOPLE_A__的人回归__MASTER_A__他们的__MOST_HIGH_A__。
1,method,llm_prompt_low,,17,0.562445,"And he will go on before the Lord, in the spirit and power of Elijah, to turn the hearts of the parents to their children and the disobedient to the wisdom of the righteous—to make ready a people prepared for the Lord.”",他将带着__PROPHET_A__的精神和能力，在__MASTER_A__前面行走，使父母的心转向他们的__LOCAL_ENTITY_01__，使不顺从的转向义人的智慧—为__MASTER_A__预备一群人。”
1,method,llm_prompt_low,,18,0.745078,"Zechariah asked the angel, “How can I be sure of this? I am an old man and my wife is well along in years.”",__PERSON_A__问天使：“我怎么确定这事呢？我很老了，我妻子也年纪大了。”
1,method,llm_prompt_low,,19,0.600558,"The angel said to him, “I am Gabriel. I stand in the presence of God, and I have been sent to speak to you and to tell you this good news.",天使对他说：“我是__MESSENGER_B__。我站在__MOST_HIGH_A__面前，我被派来与你说话和告诉你这个好消息。
1,method,llm_prompt_low,,20,0.793856,"And now you will be silent and not able to speak until the day this happens, because you did not believe my words, which will come true at their appointed time.”",现在你要闭口不能说话，直到这事发生那天，因为你不信我的话，这些话会在定的时候实现。”
1,method,llm_prompt_low,,21,0.516360,"Meanwhile, the people were waiting for Zechariah and wondering why he stayed so long in the temple.",同时，人们在等候__PERSON_A__，并且奇怪他为何在__PLACE_A__待这么久。
1,method,llm_prompt_low,,22,0.734569,"When he came out, he could not speak to them. They realized he had seen a vision in the temple, for he kept making signs to them but remained unable to speak.",他出来时不能跟他们说话。他们知道他在__PLACE_A__看见了异象，因为他不停地向他们比划，但还是不能说话。
1,method,llm_prompt_low,,23,0.854632,"When his time of service was completed, he returned home.",当他的服务时间结束后，他回家了。
1,method,llm_prompt_low,,24,0.720803,After this his wife Elizabeth became pregnant and for five months remained in seclusion.,之后他的妻子__PERSON_B__怀孕了，她隐居了五个月。
1,method,llm_prompt_low,,25,0.603909,"“The Lord has done this for me,” she said. “In these days he has shown his favor and taken away my disgrace among the people.”

The Birth of Jesus Foretold","“__MASTER_A__为我作了这事，”她说，“在这日子他向我显恩，将我的羞辱从人民中除掉了。”

预告__PERSON_F__的出生"
1,method,llm_prompt_low,,26,0.428226,"In the sixth month of Elizabeth’s pregnancy, God sent the angel Gabriel to Nazareth, a town in Galilee,",在__PERSON_B__怀孕的第六个月，__MOST_HIGH_A__派天使__MESSENGER_B__到__REGION_A__的一个镇，名叫__VILLAGE_A__，
1,method,llm_prompt_low,,27,0.313633,"to a virgin pledged to be married to a man named Joseph, a descendant of David. The virgin’s name was Mary.",对一位被许配给名叫__PERSON_E__的__KING_A__后代的__LOCAL_ROLE_03__，这位__LOCAL_ROLE_03__叫__PERSON_D__。
1,method,llm_prompt_low,,28,0.673257,"The angel went to her and said, “Greetings, you who are highly favored! The Lord is with you.”",天使去了对她说：“问安，你蒙大恩的！__MASTER_A__与你同在。”
1,method,llm_prompt_low,,29,0.484946,Mary was greatly troubled at his words and wondered what kind of greeting this might be.,__PERSON_D__因这话非常困惑，想知道这问安是什么样的意思。
1,method,llm_prompt_low,,30,0.440712,"But the angel said to her, “Do not be afraid, Mary; you have found favor with God.",但天使对她说：“不要害怕，__PERSON_D__；你在__MOST_HIGH_A__眼前蒙恩。
1,method,llm_prompt_low,,31,0.603296,"You will conceive and give birth to a son, and you are to call him Jesus.",你将怀孕生一个儿子，要给他起名叫__PERSON_F__。
1,method,llm_prompt_low,,32,0.525677,"He will be great and will be called the Son of the Most High. The Lord God will give him the throne of his father David,",他将是伟大的，要被称为__HONORED_A__的儿子。__MASTER_A__ __MOST_HIGH_A__要赐给他他父亲__KING_A__的王位，
1,method,llm_prompt_low,,33,0.712849,and he will reign over Jacob’s descendants forever; his kingdom will never end.”,他将永远作__ANCESTOR_B__后裔的王，他的国度永不终结。”
1,method,llm_prompt_low,,34,0.481254,"“How will this be,” Mary asked the angel, “since I am a virgin?”",“这事怎么成呢，”__PERSON_D__问天使，“因为我还是个__LOCAL_ROLE_03__？”
1,method,llm_prompt_low,,35,0.609266,"The angel answered, “The Holy Spirit will come on you, and the power of the Most High will overshadow you. So the holy one to be born will be called the Son of God.",天使回答：“__SPIRIT_A__要临到你，__HONORED_A__的能力要遮蔽你。所以所要生的圣者要称为__MOST_HIGH_A__的儿子。
1,method,llm_prompt_low,,36,0.573332,"Even Elizabeth your relative is going to have a child in her old age, and she who was said to be unable to conceive is in her sixth month.",你亲戚__PERSON_B__年老也怀了孩子，就是那被说不能怀孕的，她今在第六个月了。
1,method,llm_prompt_low,,37,0.466671,For no word from God will ever fail.”,因为没有哪句话出自__MOST_HIGH_A__是落空的。”
1,method,llm_prompt_low,,38,0.458957,"“I am the Lord’s servant,” Mary answered. “May your word to me be fulfilled.” Then the angel left her.

Mary Visits Elizabeth","“我是__MASTER_A__的__LOCAL_ROLE_02__，”__PERSON_D__回答，“愿你的话应验在我身上。”天使就离开她了。

__PERSON_D__拜访__PERSON_B__"
1,method,llm_prompt_low,,39,0.427305,"At that time Mary got ready and hurried to a town in the hill country of Judea,",当时__PERSON_D__预备好急忙往__LOCAL_PLACE_02__的一个镇去，
