method,score_file,total,mcq_count,mcq_correct,mcq_accuracy,open_count,open_llm_scored,open_llm_score_mean,open_embedding_scored,open_embedding_mean,llm_correct,llm_partial,llm_incorrect,llm_other,combined_score,answer_confidence_mean,insufficient_information_rate,direct_evidence_rate,evidence_supported_rate,wrong_high_confidence_count,correct_low_confidence_count
luke3/1.5b/omission/20%,evaluation/outputs/luke3/1.5b/omission/20%/scores_target_window3_v2.json,14,7,7,1.0,7,7,0.8571428571428571,0,,0,0,0,0,0.9285714285714286,,,,,,
luke7/1.7b/omission/0%,evaluation/outputs/luke7/1.7b/omission/0%/scores_target_window3_v2.json,18,9,9,1.0,9,9,0.8333333333333334,0,,0,0,0,0,0.9166666666666666,,,,,,
luke7/1.5b/omission/0%,evaluation/outputs/luke7/1.5b/omission/0%/scores_target_window3_v2.json,18,9,9,1.0,9,9,0.8333333333333334,0,,0,0,0,0,0.9166666666666666,,,,,,
luke5/1.5b/omission/10%,evaluation/outputs/luke5/1.5b/omission/10%/scores_target_window3_v2.json,22,11,11,1.0,11,11,0.8181818181818182,0,,0,0,0,0,0.9090909090909091,,,,,,
luke2/1.7b/omission/0%,evaluation/outputs/luke2/1.7b/omission/0%/scores_target_window3_v2.json,22,11,11,1.0,11,11,0.8181818181818182,0,,0,0,0,0,0.9090909090909091,,,,,,
luke1/1.7b/omission/0%,evaluation/outputs/luke1/1.7b/omission/0%/scores_target_window3_v2.json,44,22,22,1.0,22,22,0.8181818181818182,0,,0,0,0,0,0.9090909090909091,,,,,,
luke1/1.7b/grammar/30%,evaluation/outputs/luke1/1.7b/grammar/30%/scores_target_window3_v2.json,44,22,22,1.0,22,22,0.8181818181818182,0,,0,0,0,0,0.9090909090909091,,,,,,
luke6/llama 1b/mistranslation/20%,evaluation/outputs/luke6/llama 1b/mistranslation/20%/scores_target_window3_v2.json,16,8,8,1.0,8,8,0.8125,0,,0,0,0,0,0.90625,,,,,,
luke4/1.5b/grammar/30%,evaluation/outputs/luke4/1.5b/grammar/30%/scores_target_window3_v2.json,34,17,17,1.0,17,17,0.7941176470588235,0,,0,0,0,0,0.8970588235294118,,,,,,
luke3/1.5b/omission/30%,evaluation/outputs/luke3/1.5b/omission/30%/scores_target_window3_v2.json,14,7,7,1.0,7,7,0.7857142857142857,0,,0,0,0,0,0.8928571428571429,,,,,,
luke8/1.7b/omission/10%,evaluation/outputs/luke8/1.7b/omission/10%/scores_target_window3_v2.json,18,9,8,0.8888888888888888,9,9,0.8888888888888888,0,,0,0,0,0,0.8888888888888888,,,,,,
luke8/1.7b/omission/0%,evaluation/outputs/luke8/1.7b/omission/0%/scores_target_window3_v2.json,18,9,9,1.0,9,9,0.7777777777777778,0,,0,0,0,0,0.8888888888888888,,,,,,
luke5/1.7b/omission/10%,evaluation/outputs/luke5/1.7b/omission/10%/scores_target_window3_v2.json,22,11,10,0.9090909090909091,11,11,0.8636363636363636,0,,0,0,0,0,0.8863636363636364,,,,,,
luke5/1.5b/grammar/30%,evaluation/outputs/luke5/1.5b/grammar/30%/scores_target_window3_v2.json,22,11,11,1.0,11,11,0.7727272727272727,0,,0,0,0,0,0.8863636363636364,,,,,,
luke2/1.7b/omission/20%,evaluation/outputs/luke2/1.7b/omission/20%/scores_target_window3_v2.json,22,11,11,1.0,11,11,0.7727272727272727,0,,0,0,0,0,0.8863636363636364,,,,,,
luke2/1.5b/omission/20%,evaluation/outputs/luke2/1.5b/omission/20%/scores_target_window3_v2.json,22,11,11,1.0,11,11,0.7727272727272727,0,,0,0,0,0,0.8863636363636364,,,,,,
luke2/1.5b/mistranslation/20%,evaluation/outputs/luke2/1.5b/mistranslation/20%/scores_target_window3_v2.json,22,11,10,0.9090909090909091,11,11,0.8636363636363636,0,,0,0,0,0,0.8863636363636364,,,,,,
luke6/1.7b/omission/30%,evaluation/outputs/luke6/1.7b/omission/30%/scores_target_window3_v2.json,16,8,8,1.0,8,8,0.75,0,,0,0,0,0,0.875,,,,,,
luke6/1.7b/omission/20%,evaluation/outputs/luke6/1.7b/omission/20%/scores_target_window3_v2.json,16,8,8,1.0,8,8,0.75,0,,0,0,0,0,0.875,,,,,,
luke6/1.7b/omission/10%,evaluation/outputs/luke6/1.7b/omission/10%/scores_target_window3_v2.json,16,8,8,1.0,8,8,0.75,0,,0,0,0,0,0.875,,,,,,
luke6/1.7b/google_word_by_word,evaluation/outputs/luke6/1.7b/google_word_by_word/scores_target_window3_v2.json,16,8,8,1.0,8,8,0.75,0,,0,0,0,0,0.875,,,,,,
luke6/1.5b/omission/30%,evaluation/outputs/luke6/1.5b/omission/30%/scores_target_window3_v2.json,16,8,8,1.0,8,8,0.75,0,,0,0,0,0,0.875,,,,,,
luke5/1.7b/google_word_by_word,evaluation/outputs/luke5/1.7b/google_word_by_word/scores_target_window3_v2.json,22,11,10,0.9090909090909091,11,11,0.8181818181818182,0,,0,0,0,0,0.8636363636363636,,,,,,
luke4/1.7b/grammar/30%,evaluation/outputs/luke4/1.7b/grammar/30%/scores_target_window3_v2.json,33,17,14,0.8235294117647058,16,16,0.90625,0,,0,0,0,0,0.8636363636363636,,,,,,
luke2/1.7b/omission/10%,evaluation/outputs/luke2/1.7b/omission/10%/scores_target_window3_v2.json,22,11,11,1.0,11,11,0.7272727272727273,0,,0,0,0,0,0.8636363636363636,,,,,,
luke2/1.5b/omission/30%,evaluation/outputs/luke2/1.5b/omission/30%/scores_target_window3_v2.json,22,11,10,0.9090909090909091,11,11,0.8181818181818182,0,,0,0,0,0,0.8636363636363636,,,,,,
luke7/1.7b/grammar/30%,evaluation/outputs/luke7/1.7b/grammar/30%/scores_target_window3_v2.json,18,9,8,0.8888888888888888,9,9,0.8333333333333334,0,,0,0,0,0,0.8611111111111112,,,,,,
luke3/llama 1b/grammar/30%,evaluation/outputs/luke3/llama 1b/grammar/30%/scores_target_window3_v2.json,14,7,5,0.7142857142857143,7,7,1.0,0,,0,0,0,0,0.8571428571428571,,,,,,
luke3/1.7b/google_word_by_word,evaluation/outputs/luke3/1.7b/google_word_by_word/scores_target_window3_v2.json,14,7,6,0.8571428571428571,7,7,0.8571428571428571,0,,0,0,0,0,0.8571428571428571,,,,,,
luke3/1.5b/google_word_by_word,evaluation/outputs/luke3/1.5b/google_word_by_word/scores_target_window3_v2.json,14,7,7,1.0,7,7,0.7142857142857143,0,,0,0,0,0,0.8571428571428571,,,,,,
luke4/1.5b/omission/10%,evaluation/outputs/luke4/1.5b/omission/10%/scores_target_window3_v2.json,34,17,16,0.9411764705882353,17,17,0.7647058823529411,0,,0,0,0,0,0.8529411764705882,,,,,,
luke6/llama 1b/omission/20%,evaluation/outputs/luke6/llama 1b/omission/20%/scores_target_window3_v2.json,16,8,7,0.875,8,8,0.8125,0,,0,0,0,0,0.84375,,,,,,
luke6/1.7b/mistranslation/20%,evaluation/outputs/luke6/1.7b/mistranslation/20%/scores_target_window3_v2.json,16,8,8,1.0,8,8,0.6875,0,,0,0,0,0,0.84375,,,,,,
luke6/1.7b/grammar/30%,evaluation/outputs/luke6/1.7b/grammar/30%/scores_target_window3_v2.json,16,8,8,1.0,8,8,0.6875,0,,0,0,0,0,0.84375,,,,,,
luke6/1.5b/omission/20%,evaluation/outputs/luke6/1.5b/omission/20%/scores_target_window3_v2.json,16,8,8,1.0,8,8,0.6875,0,,0,0,0,0,0.84375,,,,,,
luke6/1.5b/omission/10%,evaluation/outputs/luke6/1.5b/omission/10%/scores_target_window3_v2.json,16,8,8,1.0,8,8,0.6875,0,,0,0,0,0,0.84375,,,,,,
luke5/1.7b/omission/20%,evaluation/outputs/luke5/1.7b/omission/20%/scores_target_window3_v2.json,22,11,10,0.9090909090909091,11,11,0.7727272727272727,0,,0,0,0,0,0.8409090909090909,,,,,,
luke5/1.5b/omission/30%,evaluation/outputs/luke5/1.5b/omission/30%/scores_target_window3_v2.json,22,11,10,0.9090909090909091,11,11,0.7727272727272727,0,,0,0,0,0,0.8409090909090909,,,,,,
luke5/1.5b/mistranslation/20%,evaluation/outputs/luke5/1.5b/mistranslation/20%/scores_target_window3_v2.json,22,11,11,1.0,11,11,0.6818181818181818,0,,0,0,0,0,0.8409090909090909,,,,,,
luke2/1.7b/grammar/30%,evaluation/outputs/luke2/1.7b/grammar/30%/scores_target_window3_v2.json,22,11,11,1.0,11,11,0.6818181818181818,0,,0,0,0,0,0.8409090909090909,,,,,,
luke2/1.5b/grammar/30%,evaluation/outputs/luke2/1.5b/grammar/30%/scores_target_window3_v2.json,22,11,11,1.0,11,11,0.6818181818181818,0,,0,0,0,0,0.8409090909090909,,,,,,
luke1/1.7b/mistranslation/20%,evaluation/outputs/luke1/1.7b/mistranslation/20%/scores_target_window3_v2.json,44,22,21,0.9545454545454546,22,22,0.7272727272727273,0,,0,0,0,0,0.8409090909090909,,,,,,
luke4/1.5b/google_word_by_word,evaluation/outputs/luke4/1.5b/google_word_by_word/scores_target_window3_v2.json,34,17,16,0.9411764705882353,17,17,0.7352941176470589,0,,0,0,0,0,0.8382352941176471,,,,,,
luke8/1.7b/grammar/30%,evaluation/outputs/luke8/1.7b/grammar/30%/scores_target_window3_v2.json,18,9,8,0.8888888888888888,9,9,0.7777777777777778,0,,0,0,0,0,0.8333333333333334,,,,,,
luke1/1.5b/omission/10%,evaluation/outputs/luke1/1.5b/omission/10%/scores_target_window3_v2.json,44,22,21,0.9545454545454546,22,22,0.7045454545454546,0,,0,0,0,0,0.8295454545454546,,,,,,
luke1/1.5b/google_word_by_word,evaluation/outputs/luke1/1.5b/google_word_by_word/scores_target_window3_v2.json,44,22,20,0.9090909090909091,22,22,0.75,0,,0,0,0,0,0.8295454545454546,,,,,,
luke3/1.5b/mistranslation/20%,evaluation/outputs/luke3/1.5b/mistranslation/20%/scores_target_window3_v2.json,14,7,6,0.8571428571428571,7,7,0.7857142857142857,0,,0,0,0,0,0.8214285714285714,,,,,,
luke5/llama 1b/grammar/30%,evaluation/outputs/luke5/llama 1b/grammar/30%/scores_target_window3_v2.json,22,11,10,0.9090909090909091,11,11,0.7272727272727273,0,,0,0,0,0,0.8181818181818182,,,,,,
luke5/1.5b/omission/20%,evaluation/outputs/luke5/1.5b/omission/20%/scores_target_window3_v2.json,22,11,10,0.9090909090909091,11,11,0.7272727272727273,0,,0,0,0,0,0.8181818181818182,,,,,,
luke2/1.5b/google_word_by_word,evaluation/outputs/luke2/1.5b/google_word_by_word/scores_target_window3_v2.json,22,11,11,1.0,11,11,0.6363636363636364,0,,0,0,0,0,0.8181818181818182,,,,,,
luke1/1.5b/omission/20%,evaluation/outputs/luke1/1.5b/omission/20%/scores_target_window3_v2.json,44,22,21,0.9545454545454546,22,22,0.6818181818181818,0,,0,0,0,0,0.8181818181818182,,,,,,
luke1/1.5b/mistranslation/20%,evaluation/outputs/luke1/1.5b/mistranslation/20%/scores_target_window3_v2.json,44,22,21,0.9545454545454546,22,22,0.6818181818181818,0,,0,0,0,0,0.8181818181818182,,,,,,
luke6/llama 1b/omission/10%,evaluation/outputs/luke6/llama 1b/omission/10%/scores_target_window3_v2.json,16,8,8,1.0,8,8,0.625,0,,0,0,0,0,0.8125,,,,,,
luke6/llama 1b/grammar/30%,evaluation/outputs/luke6/llama 1b/grammar/30%/scores_target_window3_v2.json,16,8,7,0.875,8,8,0.75,0,,0,0,0,0,0.8125,,,,,,
luke4/1.5b/omission/20%,evaluation/outputs/luke4/1.5b/omission/20%/scores_target_window3_v2.json,34,17,16,0.9411764705882353,17,17,0.6764705882352942,0,,0,0,0,0,0.8088235294117647,,,,,,
luke8/1.7b/omission/20%,evaluation/outputs/luke8/1.7b/omission/20%/scores_target_window3_v2.json,18,9,8,0.8888888888888888,9,9,0.7222222222222222,0,,0,0,0,0,0.8055555555555556,,,,,,
luke8/1.7b/mistranslation/20%,evaluation/outputs/luke8/1.7b/mistranslation/20%/scores_target_window3_v2.json,18,9,9,1.0,9,9,0.6111111111111112,0,,0,0,0,0,0.8055555555555556,,,,,,
luke7/1.5b/grammar/30%,evaluation/outputs/luke7/1.5b/grammar/30%/scores_target_window3_v2.json,18,9,9,1.0,9,9,0.6111111111111112,0,,0,0,0,0,0.8055555555555556,,,,,,
luke7/1.5b/google_word_by_word,evaluation/outputs/luke7/1.5b/google_word_by_word/scores_target_window3_v2.json,18,9,9,1.0,9,9,0.6111111111111112,0,,0,0,0,0,0.8055555555555556,,,,,,
luke5/llama 1b/omission/0%,evaluation/outputs/luke5/llama 1b/omission/0%/scores_target_window3_v2.json,22,11,10,0.9090909090909091,11,11,0.6818181818181818,0,,0,0,0,0,0.7954545454545454,,,,,,
luke5/1.7b/omission/30%,evaluation/outputs/luke5/1.7b/omission/30%/scores_target_window3_v2.json,22,11,9,0.8181818181818182,11,11,0.7727272727272727,0,,0,0,0,0,0.7954545454545454,,,,,,
luke4/llama 1b/omission/0%,evaluation/outputs/luke4/llama 1b/omission/0%/scores_target_window3_v2.json,34,17,14,0.8235294117647058,17,17,0.7647058823529411,0,,0,0,0,0,0.7941176470588235,,,,,,
luke4/1.5b/mistranslation/20%,evaluation/outputs/luke4/1.5b/mistranslation/20%/scores_target_window3_v2.json,34,17,14,0.8235294117647058,17,17,0.7647058823529411,0,,0,0,0,0,0.7941176470588235,,,,,,
luke3/llama 1b/omission/0%,evaluation/outputs/luke3/llama 1b/omission/0%/scores_target_window3_v2.json,14,7,5,0.7142857142857143,7,7,0.8571428571428571,0,,0,0,0,0,0.7857142857142857,,,,,,
luke3/1.7b/omission/20%,evaluation/outputs/luke3/1.7b/omission/20%/scores_target_window3_v2.json,14,7,5,0.7142857142857143,7,7,0.8571428571428571,0,,0,0,0,0,0.7857142857142857,,,,,,
luke3/1.7b/mistranslation/20%,evaluation/outputs/luke3/1.7b/mistranslation/20%/scores_target_window3_v2.json,14,7,5,0.7142857142857143,7,7,0.8571428571428571,0,,0,0,0,0,0.7857142857142857,,,,,,
luke1/1.7b/omission/20%,evaluation/outputs/luke1/1.7b/omission/20%/scores_target_window3_v2.json,44,22,20,0.9090909090909091,22,22,0.6590909090909091,0,,0,0,0,0,0.7840909090909091,,,,,,
luke1/1.7b/omission/10%,evaluation/outputs/luke1/1.7b/omission/10%/scores_target_window3_v2.json,44,22,20,0.9090909090909091,22,22,0.6590909090909091,0,,0,0,0,0,0.7840909090909091,,,,,,
luke1/1.7b/google_word_by_word,evaluation/outputs/luke1/1.7b/google_word_by_word/scores_target_window3_v2.json,44,22,17,0.7727272727272727,22,22,0.7954545454545454,0,,0,0,0,0,0.7840909090909091,,,,,,
luke6/llama 1b/omission/30%,evaluation/outputs/luke6/llama 1b/omission/30%/scores_target_window3_v2.json,16,8,6,0.75,8,8,0.8125,0,,0,0,0,0,0.78125,,,,,,
luke6/1.5b/google_word_by_word,evaluation/outputs/luke6/1.5b/google_word_by_word/scores_target_window3_v2.json,16,8,7,0.875,8,8,0.6875,0,,0,0,0,0,0.78125,,,,,,
luke4/llama 1b/grammar/30%,evaluation/outputs/luke4/llama 1b/grammar/30%/scores_target_window3_v2.json,34,17,13,0.7647058823529411,17,17,0.7941176470588235,0,,0,0,0,0,0.7794117647058824,,,,,,
luke8/llama 1b/omission/10%,evaluation/outputs/luke8/llama 1b/omission/10%/scores_target_window3_v2.json,18,9,8,0.8888888888888888,9,9,0.6666666666666666,0,,0,0,0,0,0.7777777777777778,,,,,,
luke8/1.5b/omission/0%,evaluation/outputs/luke8/1.5b/omission/0%/scores_target_window3_v2.json,18,9,7,0.7777777777777778,9,9,0.7777777777777778,0,,0,0,0,0,0.7777777777777778,,,,,,
luke7/1.7b/omission/20%,evaluation/outputs/luke7/1.7b/omission/20%/scores_target_window3_v2.json,18,9,7,0.7777777777777778,9,9,0.7777777777777778,0,,0,0,0,0,0.7777777777777778,,,,,,
luke7/1.5b/omission/20%,evaluation/outputs/luke7/1.5b/omission/20%/scores_target_window3_v2.json,18,9,9,1.0,9,9,0.5555555555555556,0,,0,0,0,0,0.7777777777777778,,,,,,
luke2/1.7b/mistranslation/20%,evaluation/outputs/luke2/1.7b/mistranslation/20%/scores_target_window3_v2.json,22,11,10,0.9090909090909091,11,11,0.6363636363636364,0,,0,0,0,0,0.7727272727272727,,,,,,
luke2/1.7b/google_word_by_word,evaluation/outputs/luke2/1.7b/google_word_by_word/scores_target_window3_v2.json,22,11,9,0.8181818181818182,11,11,0.7272727272727273,0,,0,0,0,0,0.7727272727272727,,,,,,
luke1/llama 1b/omission/0%,evaluation/outputs/luke1/llama 1b/omission/0%/scores_target_window3_v2.json,44,22,20,0.9090909090909091,22,22,0.6136363636363636,0,,0,0,0,0,0.7613636363636364,,,,,,
luke4/1.7b/google_word_by_word,evaluation/outputs/luke4/1.7b/google_word_by_word/scores_target_window3_v2.json,33,17,14,0.8235294117647058,16,16,0.6875,0,,0,0,0,0,0.7575757575757576,,,,,,
luke8/llama 1b/grammar/30%,evaluation/outputs/luke8/llama 1b/grammar/30%/scores_target_window3_v2.json,18,9,8,0.8888888888888888,9,9,0.6111111111111112,0,,0,0,0,0,0.75,,,,,,
luke8/1.5b/grammar/30%,evaluation/outputs/luke8/1.5b/grammar/30%/scores_target_window3_v2.json,18,9,6,0.6666666666666666,9,9,0.8333333333333334,0,,0,0,0,0,0.75,,,,,,
luke7/1.7b/omission/10%,evaluation/outputs/luke7/1.7b/omission/10%/scores_target_window3_v2.json,18,9,7,0.7777777777777778,9,9,0.7222222222222222,0,,0,0,0,0,0.75,,,,,,
luke7/1.5b/omission/10%,evaluation/outputs/luke7/1.5b/omission/10%/scores_target_window3_v2.json,18,9,8,0.8888888888888888,9,9,0.6111111111111112,0,,0,0,0,0,0.75,,,,,,
luke5/1.5b/google_word_by_word,evaluation/outputs/luke5/1.5b/google_word_by_word/scores_target_window3_v2.json,22,11,9,0.8181818181818182,11,11,0.6818181818181818,0,,0,0,0,0,0.75,,,,,,
luke3/1.7b/omission/30%,evaluation/outputs/luke3/1.7b/omission/30%/scores_target_window3_v2.json,14,7,5,0.7142857142857143,7,7,0.7857142857142857,0,,0,0,0,0,0.75,,,,,,
luke2/1.7b/omission/30%,evaluation/outputs/luke2/1.7b/omission/30%/scores_target_window3_v2.json,22,11,10,0.9090909090909091,11,11,0.5909090909090909,0,,0,0,0,0,0.75,,,,,,
luke4/1.7b/mistranslation/20%,evaluation/outputs/luke4/1.7b/mistranslation/20%/scores_target_window3_v2.json,33,17,13,0.7647058823529411,16,16,0.71875,0,,0,0,0,0,0.7424242424242424,,,,,,
luke1/llama 1b/mistranslation/20%,evaluation/outputs/luke1/llama 1b/mistranslation/20%/scores_target_window3_v2.json,44,22,19,0.8636363636363636,22,22,0.6136363636363636,0,,0,0,0,0,0.7386363636363636,,,,,,
luke1/1.5b/omission/30%,evaluation/outputs/luke1/1.5b/omission/30%/scores_target_window3_v2.json,44,22,19,0.8636363636363636,22,22,0.6136363636363636,0,,0,0,0,0,0.7386363636363636,,,,,,
luke5/llama 1b/omission/20%,evaluation/outputs/luke5/llama 1b/omission/20%/scores_target_window3_v2.json,22,11,9,0.8181818181818182,11,11,0.6363636363636364,0,,0,0,0,0,0.7272727272727273,,,,,,
luke5/llama 1b/omission/10%,evaluation/outputs/luke5/llama 1b/omission/10%/scores_target_window3_v2.json,22,11,9,0.8181818181818182,11,11,0.6363636363636364,0,,0,0,0,0,0.7272727272727273,,,,,,
luke5/llama 1b/mistranslation/20%,evaluation/outputs/luke5/llama 1b/mistranslation/20%/scores_target_window3_v2.json,22,11,9,0.8181818181818182,11,11,0.6363636363636364,0,,0,0,0,0,0.7272727272727273,,,,,,
luke2/llama 1b/omission/20%,evaluation/outputs/luke2/llama 1b/omission/20%/scores_target_window3_v2.json,22,11,11,1.0,11,11,0.45454545454545453,0,,0,0,0,0,0.7272727272727273,,,,,,
luke2/llama 1b/grammar/30%,evaluation/outputs/luke2/llama 1b/grammar/30%/scores_target_window3_v2.json,22,11,10,0.9090909090909091,11,11,0.5454545454545454,0,,0,0,0,0,0.7272727272727273,,,,,,
luke8/1.7b/omission/30%,evaluation/outputs/luke8/1.7b/omission/30%/scores_target_window3_v2.json,18,9,7,0.7777777777777778,9,9,0.6666666666666666,0,,0,0,0,0,0.7222222222222222,,,,,,
luke8/1.5b/omission/10%,evaluation/outputs/luke8/1.5b/omission/10%/scores_target_window3_v2.json,18,9,6,0.6666666666666666,9,9,0.7777777777777778,0,,0,0,0,0,0.7222222222222222,,,,,,
luke8/1.5b/mistranslation/20%,evaluation/outputs/luke8/1.5b/mistranslation/20%/scores_target_window3_v2.json,18,9,6,0.6666666666666666,9,9,0.7777777777777778,0,,0,0,0,0,0.7222222222222222,,,,,,
luke7/1.5b/omission/30%,evaluation/outputs/luke7/1.5b/omission/30%/scores_target_window3_v2.json,18,9,9,1.0,9,9,0.4444444444444444,0,,0,0,0,0,0.7222222222222222,,,,,,
luke7/1.5b/mistranslation/20%,evaluation/outputs/luke7/1.5b/mistranslation/20%/scores_target_window3_v2.json,18,9,7,0.7777777777777778,9,9,0.6666666666666666,0,,0,0,0,0,0.7222222222222222,,,,,,
luke4/1.5b/omission/30%,evaluation/outputs/luke4/1.5b/omission/30%/scores_target_window3_v2.json,34,17,15,0.8823529411764706,17,17,0.5588235294117647,0,,0,0,0,0,0.7205882352941176,,,,,,
luke6/llama 1b/google_word_by_word,evaluation/outputs/luke6/llama 1b/google_word_by_word/scores_target_window3_v2.json,16,8,6,0.75,8,8,0.6875,0,,0,0,0,0,0.71875,,,,,,
luke3/llama 1b/omission/10%,evaluation/outputs/luke3/llama 1b/omission/10%/scores_target_window3_v2.json,14,7,4,0.5714285714285714,7,7,0.8571428571428571,0,,0,0,0,0,0.7142857142857143,,,,,,
luke4/1.7b/omission/10%,evaluation/outputs/luke4/1.7b/omission/10%/scores_target_window3_v2.json,33,17,11,0.6470588235294118,16,16,0.78125,0,,0,0,0,0,0.7121212121212122,,,,,,
luke2/llama 1b/omission/0%,evaluation/outputs/luke2/llama 1b/omission/0%/scores_target_window3_v2.json,22,11,10,0.9090909090909091,11,11,0.5,0,,0,0,0,0,0.7045454545454546,,,,,,
luke1/llama 1b/omission/10%,evaluation/outputs/luke1/llama 1b/omission/10%/scores_target_window3_v2.json,44,22,20,0.9090909090909091,22,22,0.5,0,,0,0,0,0,0.7045454545454546,,,,,,
luke1/1.7b/omission/30%,evaluation/outputs/luke1/1.7b/omission/30%/scores_target_window3_v2.json,44,22,19,0.8636363636363636,22,22,0.5454545454545454,0,,0,0,0,0,0.7045454545454546,,,,,,
luke8/llama 1b/omission/20%,evaluation/outputs/luke8/llama 1b/omission/20%/scores_target_window3_v2.json,18,9,7,0.7777777777777778,9,9,0.6111111111111112,0,,0,0,0,0,0.6944444444444444,,,,,,
luke8/1.5b/omission/30%,evaluation/outputs/luke8/1.5b/omission/30%/scores_target_window3_v2.json,18,9,6,0.6666666666666666,9,9,0.7222222222222222,0,,0,0,0,0,0.6944444444444444,,,,,,
luke8/1.5b/omission/20%,evaluation/outputs/luke8/1.5b/omission/20%/scores_target_window3_v2.json,18,9,6,0.6666666666666666,9,9,0.7222222222222222,0,,0,0,0,0,0.6944444444444444,,,,,,
luke7/llama 1b/grammar/30%,evaluation/outputs/luke7/llama 1b/grammar/30%/scores_target_window3_v2.json,18,9,8,0.8888888888888888,9,9,0.5,0,,0,0,0,0,0.6944444444444444,,,,,,
