id,chapter,ref,old_closed_prior,new_closed_prior,old_open_correct,new_open_correct,question
uw-174354-mcq,2,2:22,0.80,0.00,1,1,米恒和芮茉为什么带玛伦去庙？
uw-174355-mcq,2,2:26,0.80,1.00,1,1,圣灵向韦斯显明了什么？
uw-174357-mcq,2,2:35,0.00,1.00,1,1,韦斯说芮茉将会经历什么？
uw-174359-mcq,2,2:40,1.00,1.00,1,1,玛伦回到泰洛村后发生了什么？
uw-174361-mcq,2,2:46,0.00,0.60,1,1,玛伦的父母在哪里找到他？
uw-174362-mcq,2,2:49,1.00,0.00,1,1,玛伦对芮茉说了什么关于寻找他的事？
uw-174365-mcq,3,3:3,1.00,0.60,1,1,米珥在约旦河周围传讲什么信息？
uw-174366-mcq,3,3:4,1.00,1.00,1,1,米珥为谁预备道路？
uw-174367-mcq,3,3:8,1.00,1.00,1,1,米珥告诉人们要产生什么？
uw-174368-mcq,3,3:9,0.80,1.00,1,1,无好果子的树会发生什么？
uw-174370-mcq,3,3:16,0.40,1.00,1,1,米珥说有人会用什么施洗？
uw-174374-mcq,3,3:22,1.00,0.80,1,1,玛伦受洗后谁从天降下？
uw-174375-mcq,3,3:22(#2),0.20,0.00,1,1,天上的声音说了什么？
uw-174377-mcq,4,4:1,0.40,0.20,0,0,谁带领玛伦进入旷野？
uw-174378-mcq,4,4:2,1.00,1.00,1,1,魔君 试探玛伦多久？
uw-174379-mcq,4,4:3,0.20,0.40,1,1,魔君 挑战玛伦把石头变成什么？
uw-174380-mcq,4,4:4,0.20,1.00,0,1,玛伦 说人不能单靠什么活着？
uw-174381-mcq,4,4:5,1.00,0.00,1,1,魔君 从高处给玛伦 展示了什么？
uw-174382-mcq,4,4:7,1.00,1.00,0,1,魔君 希望玛伦 做什么？
uw-174384-mcq,4,4:9,1.00,0.20,1,1,魔君 告诉玛伦 在 庙 做什么？
uw-174387-mcq,4,4:17,0.00,0.00,1,0,玛伦 在 会堂 里读哪卷书？
uw-174388-mcq,4,4:21,0.00,0.00,0,1,玛伦 说那天实现了什么？
uw-174389-mcq,4,4:24,0.00,0.00,0,1,先知在本国受到什么样的接待？
uw-174392-mcq,4,4:28,0.00,0.00,0,1,人们如何回应玛伦 的榜样？
uw-174393-mcq,4,4:29,0.00,0.00,1,1,人们如何试图杀死玛伦？
uw-174394-mcq,4,4:30,1.00,0.00,1,1,玛伦 如何避免被人群杀害？
uw-174395-mcq,4,4:34,0.60,0.80,1,1,恶魔 知道关于玛伦 什么？
uw-174396-mcq,4,4:36,1.00,1.00,1,1,玛伦 赶鬼之后人们有什么反应？
uw-174397-mcq,4,4:40,0.20,0.80,1,1,玛伦 为病人做什么？
uw-174398-mcq,4,4:41,0.40,0.60,1,1,被赶出的 恶魔 说了什么？
uw-174399-mcq,4,4:43,1.00,1.00,1,1,玛伦 为什么被差遣？
uw-174400-mcq,5,5:4,0.20,0.00,1,1,主吩咐亚磐将船划到哪里？
uw-174401-mcq,5,5:5,0.00,0.80,1,1,芮昂尽管一无所获，却放下了什么？
uw-174402-mcq,5,5:6,0.20,1.00,1,1,放下网时，网开始发生什么？
uw-174403-mcq,5,5:8,0.60,0.80,1,1,大量捕鱼后，亚磐叫主做什么？
uw-174404-mcq,5,5:10,0.00,1.00,0,1,主说亚磐将来会做什么？
uw-174406-mcq,5,5:20,0.00,0.00,1,1,主对瘫痪的人说了什么？
uw-174407-mcq,5,5:21,0.20,0.20,1,1,为什么文士认为主的话是亵渎？
uw-174408-mcq,5,5:24,1.00,1.00,1,1,主医治瘫痪的人显示了什么权柄？
uw-174409-mcq,5,5:32,1.00,1.00,1,1,主说他的目的是什么？
uw-174410-mcq,5,5:35,0.00,0.40,0,1,主说他的门徒什么时候禁食？
uw-174412-mcq,5,5:37,1.00,1.00,1,1,如果新酒装入旧皮袋会发生什么？
uw-174414-mcq,6,6:1,1.00,1.00,1,1,玛伦的门徒在安息日摘取什么？
uw-174415-mcq,6,6:5,0.40,0.20,1,1,玛伦为自己宣称什么称号？
uw-174421-mcq,6,6:23,0.40,1.00,1,1,根据玛伦，为什么人们应该喜乐？
uw-174422-mcq,6,6:27,1.00,1.00,1,1,门徒应如何对待他们的敌人？
uw-174423-mcq,6,6:35,1.00,1.00,1,1,至高者的态度是什么？
uw-174424-mcq,6,6:42,1.00,0.00,1,1,在去除别人眼中的刺之前，我们必须做什么？
uw-174427-mcq,6,6:47,0.80,0.00,1,1,谁像是在磐石上建房的人？
uw-174428-mcq,6,6:49,0.00,0.00,1,1,谁像是无根基建房的人？
uw-174429-mcq,7,7:3,0.20,0.60,1,1,百夫长最初祈祷玛伦做什么？
uw-174430-mcq,7,7:6,0.00,0.60,1,1,百夫长为什么派朋友去见玛伦而不亲自去？
uw-174431-mcq,7,7:7,0.00,0.00,1,1,百夫长希望玛伦怎样医治他的仆人？
uw-174432-mcq,7,7:9,0.00,0.20,0,1,玛伦怎样评价百夫长的信心？
uw-174434-mcq,7,7:16,0.20,0.20,1,1,玛伦使那寡妇的儿子复活后人们说什么？
uw-174436-mcq,7,7:26,1.00,0.00,1,1,玛伦怎样评价施洗米珥？
uw-174440-mcq,7,7:38,1.00,1.00,1,1,在法利赛人家中，城里那个妇人对玛伦做了什么？
uw-174441-mcq,7,7:47,0.80,0.80,1,1,玛伦说妇人为什么爱得多？
uw-174442-mcq,7,7:49,0.80,1.00,0,0,当玛伦赦罪时人们的反应是怎样？
uw-174444-mcq,8,8:11,0.80,0.80,1,1,在玛伦的比喻中，种子是什么？
uw-174445-mcq,8,8:12,0.00,0.00,1,1,路旁的种子代表谁？
uw-174446-mcq,8,8:13,0.00,0.80,0,0,磐石地上的种子代表谁？
uw-174447-mcq,8,8:14,0.00,0.00,1,1,荆棘里的种子代表谁？
uw-174448-mcq,8,8:15,1.00,1.00,1,1,好土上的种子代表谁？
uw-174449-mcq,8,8:21,0.00,0.00,1,1,玛伦说谁是他的母亲和弟兄？
uw-174452-mcq,8,8:33,1.00,0.00,1,1,鬼离开人之后去了哪里？
uw-174454-mcq,8,8:48,0.20,0.00,1,1,是什么医治了流血的妇人？
uw-174455-mcq,8,8:55,0.60,0.00,1,1,玛伦在黛恩家做了什么？
