chapter,method,item_index,id,passage_reference,q_type,question,standard_answer,score_range,models_disagree,llama 1b_score,llama 1b_answer,llama 1b_choice,1.5b_score,1.5b_answer,1.5b_choice,1.7b_score,1.7b_answer,1.7b_choice
1,google_word_by_word,29,uw-174335-open,文本甲 1:41,open,当人物丁问候人物乙时，人物乙的宝宝做了什么？,Leaped in her womb.,1.0,True,0.0,在一个大声嗓音 她惊呼道： “有福了 是 你 之中 女性， 和 有福的 是 这 孩子 你 将要 熊！,,1.0,婴儿跳跃在子宫。,,1.0,人物乙的孩子在子宫中跳跃,
1,google_word_by_word,30,uw-174335-mcq,文本甲 1:41,mcq,当人物丁问候人物乙时，人物乙的宝宝做了什么？,Leaped in her womb.,1.0,True,0.0,,,1.0,在她的子宫里跳跃,B,1.0,在她的子宫里跳跃,B
1,google_word_by_word,31,uw-174336-open,文本甲 1:42,open,人物乙说谁是蒙福的？,Person D and her baby.,0.0,False,0.0,人物乙说自己是蒙福。,,0.0,实体01,,0.0,人物乙说自己是有福的,
1,google_word_by_word,32,uw-174336-mcq,文本甲 1:42,mcq,人物乙说谁是蒙福的？,Person D and her baby.,1.0,True,0.0,人物戊和人物丁,B,0.0,人物戊和人物丁,B,1.0,人物丁和她的孩子,A
1,google_word_by_word,33,uw-174339-open,文本甲 1:63,open,人物甲写了什么关于孩子的名字？,His name is Person C.,0.0,False,1.0,人物丙,,1.0,关于人物丙的写作。,,1.0,孩子的名字是人物丙,
1,google_word_by_word,34,uw-174339-mcq,文本甲 1:63,mcq,人物甲写了什么关于孩子的名字？,His name is Person C.,1.0,True,0.0,他的名字是人物甲,B,1.0,他的名字是人物丙,A,1.0,他的名字是人物丙,A
1,google_word_by_word,35,uw-174340-open,文本甲 1:64,open,写完名字后人物甲发生了什么？,He spoke and praised Most High A.,0.0,False,1.0,"他开始说话, 赞美至高者甲.",,1.0,他开始说话，赞美至高者甲。,,1.0,人物甲的嘴和舌头变得自由，开始赞美至高者甲。,
1,google_word_by_word,36,uw-174340-mcq,文本甲 1:64,mcq,人物甲写完名字后发生了什么？,He spoke and praised Most High A.,0.0,False,1.0,他说话并赞美神,C,1.0,他说话并赞美神,C,1.0,他说话并赞美神,C
1,google_word_by_word,37,uw-174341-open,文本甲 1:66,open,大家对孩子有什么认识？,The Master A's hand was with him.,1.0,True,1.0,他是神灵。,,0.0,每个人都意识到了孩子的存在。,,0.0,每个人都意识到了孩子的赞美与救赎,
1,google_word_by_word,38,uw-174341-mcq,文本甲 1:66,mcq,大家对孩子有什么认识？,The Master A's hand was with him.,1.0,True,0.0,他将成为一位伟大的王,D,1.0,主的手与他同在,B,1.0,主的手与他同在,B
1,google_word_by_word,39,uw-174342-open,文本甲 1:68,open,至高者甲完成了什么，使人物甲赞美？,Redemption for his people.,0.0,False,1.0,他赎回他们。,,1.0,救恩,,1.0,至高者甲的到来和赎救使人物甲称赞。,
1,google_word_by_word,40,uw-174342-mcq,文本甲 1:68,mcq,至高者甲完成了什么，使人物甲赞美？,Redemption for his people.,0.0,False,1.0,为他的百姓带来救赎,A,1.0,为他的子民带来了救赎,A,1.0,为他的子民带来了救赎,A
1,google_word_by_word,41,uw-174343-open,文本甲 1:77,open,人物甲预言人物丙会帮助人们知道什么？,How to be saved through forgiveness.,1.0,True,0.0,天堂的上升太阳,,1.0,他将要给他的人們這知識的救恩。,,1.0,人物甲预言人物丙会帮助人们知道知识的救恩和饶恕的罪恶。,
1,google_word_by_word,42,uw-174343-mcq,文本甲 1:77,mcq,人物甲预言人物丙会帮助人们知道什么？,How to be saved through forgiveness.,1.0,True,0.0,,,1.0,如何通过宽恕得救,A,1.0,如何通过宽恕得救,A
1,google_word_by_word,43,uw-174344-open,文本甲 1:80,open,人物丙在哪里长大和居住？,In the wilderness.,1.0,True,0.0,天堂,,1.0,他住在荒野。,,1.0,这 荒野,
1,google_word_by_word,44,uw-174344-mcq,文本甲 1:80,mcq,人物丙在哪里长大和居住？,In the wilderness.,1.0,True,0.0,,,1.0,在旷野,C,1.0,在旷野,C
1,llm_prompt_high,1,uw-174316-open,文本甲 1:4,open,文本甲为什么写他的记述？,To assure Recipient A of certainty.,1.0,True,0.0,从头仔细考察了一切。,,1.0,为了让收信者甲知道所学之事的确实性。,,1.0,文本甲写记述的目的是为了让人知道所学之事的确实性。,
1,llm_prompt_high,2,uw-174316-mcq,文本甲 1:4,mcq,文本甲为什么写他的记述？,To assure Recipient A of certainty.,0.0,False,1.0,为了确保收信者甲的确定性。,B,1.0,为了使收信者甲确信无疑。,B,1.0,为了使收信者甲确信无疑。,B
1,llm_prompt_high,3,uw-174317-open,文本甲 1:6,open,人物甲和人物乙为什么是义人？,They walked blamelessly in commandments.,1.0,True,0.0,他们没有孩子。,,1.0,因为两人都在至高者面前义行无瑕。,,1.0,人物甲和人物乙因遵守至高者至高者甲的诫命和律例而成为义人。,
1,llm_prompt_high,4,uw-174317-mcq,文本甲 1:6,mcq,为什么人物甲和人物乙被认为是义人？,They walked blamelessly in commandments.,0.0,False,1.0,他们在诫命中行无可指摘。,D,1.0,他们无可指摘地遵守了诫命。,D,1.0,他们无可指摘地遵守了诫命。,D
1,llm_prompt_high,5,uw-174318-open,文本甲 1:7,open,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,0.0,False,1.0,他们没有孩子，因为 人物乙 不怀孕。,,1.0,人物乙无法怀孕。,,1.0,人物乙无法怀孕,
1,llm_prompt_high,6,uw-174318-mcq,文本甲 1:7,mcq,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,1.0,True,0.0,他们选择不生孩子。,C,1.0,人物乙不能生育。,D,1.0,人物乙不能生育。,D
1,llm_prompt_high,7,uw-174322-open,文本甲 1:11,open,谁在圣殿向人物甲显现？,An angel of the Master A.,0.0,False,1.0,天使,,1.0,主人甲的天使,,1.0,主人甲的天使,
1,llm_prompt_high,8,uw-174322-mcq,文本甲 1:11,mcq,谁在圣殿向人物甲显现？,An angel of the Master A.,0.0,False,1.0,主的天使。,D,1.0,主的天使。,D,1.0,主的天使。,D
1,llm_prompt_high,9,uw-174323-open,文本甲 1:12,open,人物甲如何对天使反应？,He was troubled and afraid.,1.0,True,0.0,不要害怕,,1.0,人物甲惊慌害怕。,,1.0,惊慌害怕,
1,llm_prompt_high,10,uw-174323-mcq,文本甲 1:12,mcq,人物甲如何对天使反应？,He was troubled and afraid.,0.0,False,1.0,他感到惊恐并害怕。,C,1.0,他感到不安和害怕。,C,1.0,他感到不安和害怕。,C
1,llm_prompt_high,11,uw-174324-open,文本甲 1:13,open,天使对人物甲说了什么？,Do not be afraid; Person B will have a son.,0.0,False,1.0,不要害怕，你的祈求被垂听。你的妻子 人物乙 将给你生一个儿子，你要给他起名叫 人物丙。,,1.0,不要害怕， 人物甲，你的请求 已蒙垂听。,,1.0,天使对人物甲说不要害怕，并告知其请求已获批准，需给儿子起名人物丙。,
1,llm_prompt_high,12,uw-174324-mcq,文本甲 1:13,mcq,天使对人物甲说了什么？,Do not be afraid; Person B will have a son.,0.0,False,1.0,不要害怕；人物乙将生一个儿子。,C,1.0,不要害怕；人物乙将怀孕生子。,C,1.0,不要害怕；人物乙将怀孕生子。,C
1,llm_prompt_high,13,uw-174325-open,文本甲 1:16,open,人物丙将为族群甲做什么？,Turn them back to Most High A.,0.0,False,1.0,他将为族群甲回转归向他们的至高者甲。,,1.0,他将使众族群甲归向他们的至高者主人甲。,,1.0,人物甲将使族群甲归向至高者主人甲。,
1,llm_prompt_high,14,uw-174325-mcq,文本甲 1:16,mcq,人物丙将为族群甲做什么？,Turn them back to Most High A.,0.0,False,1.0,使他们归向上帝。,D,1.0,使他们转向神。,D,1.0,使他们转向神。,D
1,llm_prompt_high,15,uw-174326-open,文本甲 1:17,open,人物丙的作为将为哪种人预备？,A people prepared for the Master A.,1.0,True,0.0,父亲的心转向儿女。,,1.0,预备一群合适的人。,,1.0,一群合适的人,
1,llm_prompt_high,16,uw-174326-mcq,文本甲 1:17,mcq,人物丙的作为将为哪种人预备？,A people prepared for the Master A.,0.0,False,1.0,一支为主预备的民众。,D,1.0,一群为主预备的人。,D,1.0,一群为主预备的人。,D
1,llm_prompt_high,17,uw-174328-open,文本甲 1:20,open,因不信，人物甲发生了什么？,He would not speak until birth.,0.0,False,1.0,天使说：“你将保持沉默，直到这事成就的那一天，因为你不信我的话，而这话必在定时实现。”,,1.0,他不信天使的话。,,1.0,人物甲无法说话,
1,llm_prompt_high,18,uw-174328-mcq,文本甲 1:20,mcq,因不信，人物甲发生了什么？,He would not speak until birth.,1.0,True,0.0,他被雷击中。,B,1.0,直到孩子出生前他都不能说话。,A,0.0,暂时失明。,C
1,llm_prompt_high,19,uw-174329-open,文本甲 1:27,open,六个月后，使者乙访问了谁？,A virgin named Person D.,1.0,True,0.0,主人甲,,1.0,人物丁。,,1.0,人物丁,
1,llm_prompt_high,20,uw-174329-mcq,文本甲 1:27,mcq,六个月后，使者乙访问了谁？,A virgin named Person D.,1.0,True,0.0,田野里的牧羊人。,D,1.0,一位名叫人物丁的童贞女。,C,1.0,一位名叫人物丁的童贞女。,C
1,llm_prompt_high,21,uw-174330-open,文本甲 1:31,open,人物丁会发生什么事？,"She will bear a son, Person F.",0.0,False,1.0,你将怀孕生子，起名叫 人物己。,,1.0,他将怀孕生子。,,1.0,人物丁将怀孕生子并被赐予宝座，统治先祖乙的后裔,
1,llm_prompt_high,22,uw-174330-mcq,文本甲 1:31,mcq,人物丁会发生什么事？,"She will bear a son, Person F.",0.0,False,1.0,她将生一个儿子，人物己。,B,1.0,她将怀孕生下一个儿子，人物己。,B,1.0,她将怀孕生下一个儿子，人物己。,B
1,llm_prompt_high,23,uw-174331-open,文本甲 1:33,open,孩子将做什么？,Reign over Ancestor B's descendants forever.,0.0,False,1.0,王国永无终结。,,1.0,他将统治先祖乙的后裔，国度永无终结。,,1.0,这个孩子将统治先祖乙的后裔，国度永无终结。,
1,llm_prompt_high,24,uw-174331-mcq,文本甲 1:33,mcq,孩子将做什么？,Reign over Ancestor B's descendants forever.,0.0,False,1.0,永远统治祖先乙的后代。,A,1.0,永远统治祖先乙的后裔。,A,1.0,永远统治祖先乙的后裔。,A
1,llm_prompt_high,25,uw-174332-open,文本甲 1:35,open,人物丁将如何以童贞女身份怀孕？,Spirit A will come upon her.,0.0,False,1.0,天使回答：“圣灵要降临你身上，至高者的能力要荫庇你。因此，那将生的圣者必称为 至高者甲 的儿子。”,,1.0,圣灵临到他。,,1.0,圣灵的临在使人物丁以童贞女身份受孕。,
1,llm_prompt_high,26,uw-174332-mcq,文本甲 1:35,mcq,人物丁如何以童贞女身份怀孕？,Spirit A will come upon her.,1.0,True,1.0,灵甲将降临她身上,D,0.0,她会祈求奇迹,B,1.0,灵甲将降临她身上,D
1,llm_prompt_high,27,uw-174333-open,文本甲 1:35 (#2),open,圣婴是谁的儿子？,Son of Most High A.,0.0,False,1.0,至高者甲的儿子,,1.0,至尊者的子。,,1.0,圣婴是至高者的儿子。,
1,llm_prompt_high,28,uw-174333-mcq,文本甲 1:35 (#2),mcq,圣婴是谁的儿子？,Son of Most High A.,0.0,False,1.0,至高者甲的儿子,A,1.0,神的儿子,A,1.0,神的儿子,A
1,llm_prompt_high,29,uw-174335-open,文本甲 1:41,open,当人物丁问候人物乙时，人物乙的宝宝做了什么？,Leaped in her womb.,1.0,True,0.0,女人中你有福，你所怀的胎儿也有福！我怎配有主的母亲来我这里呢？,,1.0,胎儿在腹中跳动。,,1.0,胎儿在腹中跳动,
1,llm_prompt_high,30,uw-174335-mcq,文本甲 1:41,mcq,当人物丁问候人物乙时，人物乙的宝宝做了什么？,Leaped in her womb.,0.0,False,1.0,在腹中跳跃,B,1.0,在她的子宫里跳跃,B,1.0,在她的子宫里跳跃,B
1,llm_prompt_high,31,uw-174336-open,文本甲 1:42,open,人物乙说谁是蒙福的？,Person D and her baby.,1.0,True,0.0,女人,,1.0,你和所怀的孩子。,,0.0,人物乙,
1,llm_prompt_high,32,uw-174336-mcq,文本甲 1:42,mcq,人物乙说谁是蒙福的？,Person D and her baby.,1.0,True,0.0,人物甲和人物乙,C,0.0,人物戊和人物丁,B,1.0,人物丁和她的孩子,A
1,llm_prompt_high,33,uw-174339-open,文本甲 1:63,open,人物甲写了什么关于孩子的名字？,His name is Person C.,0.0,False,1.0,人物丙,,1.0,人物丙的名字。,,1.0,人物丙,
1,llm_prompt_high,34,uw-174339-mcq,文本甲 1:63,mcq,人物甲写了什么关于孩子的名字？,His name is Person C.,1.0,True,0.0,他的名字是人物甲,B,1.0,他的名字是人物丙,A,1.0,他的名字是人物丙,A
1,llm_prompt_high,35,uw-174340-open,文本甲 1:64,open,写完名字后人物甲发生了什么？,He spoke and praised Most High A.,0.0,False,1.0,口立即打开舌头开始称颂。,,1.0,他的口开通，舌头释放，他开始说话。,,1.0,他的口开通，舌头释放，他开始说话，赞美至高者 至高者甲,
1,llm_prompt_high,36,uw-174340-mcq,文本甲 1:64,mcq,人物甲写完名字后发生了什么？,He spoke and praised Most High A.,0.0,False,1.0,他说话并赞美神,C,1.0,他说话并赞美神,C,1.0,他说话并赞美神,C
1,llm_prompt_high,37,uw-174341-open,文本甲 1:66,open,大家对孩子有什么认识？,The Master A's hand was with him.,0.0,False,0.0,敬畏的人都想成为这个孩子的继承人。,,0.0,他们知道这个孩子将成为什么样的人。,,0.0,他们意识到孩子将来会成为什么样的人,
1,llm_prompt_high,38,uw-174341-mcq,文本甲 1:66,mcq,大家对孩子有什么认识？,The Master A's hand was with him.,1.0,True,0.0,他将成为一位伟大的王,D,1.0,主的手与他同在,B,1.0,主的手与他同在,B
1,llm_prompt_high,39,uw-174342-open,文本甲 1:68,open,至高者甲完成了什么，使人物甲赞美？,Redemption for his people.,1.0,True,0.0,主人甲的颂歌,,1.0,主来看顾他的百姓，救赎他们。,,1.0,至高者甲通过救赎百姓和兴起救恩的角使人物甲称赞。,
1,llm_prompt_high,40,uw-174342-mcq,文本甲 1:68,mcq,至高者甲完成了什么，使人物甲赞美？,Redemption for his people.,0.0,False,1.0,为他的百姓带来救赎,A,1.0,为他的子民带来了救赎,A,1.0,为他的子民带来了救赎,A
1,llm_prompt_high,41,uw-174343-open,文本甲 1:77,open,人物甲预言人物丙会帮助人们知道什么？,How to be saved through forgiveness.,1.0,True,0.0,圣洁、公义无所畏惧地事奉主。,,0.0,你将被称为至尊者的先知。,,1.0,人物甲预言人物丙会帮助人们知道救恩的知识。,
1,llm_prompt_high,42,uw-174343-mcq,文本甲 1:77,mcq,人物甲预言人物丙会帮助人们知道什么？,How to be saved through forgiveness.,1.0,True,0.0,如何变得富有,D,1.0,如何通过宽恕得救,A,1.0,如何通过宽恕得救,A
1,llm_prompt_high,43,uw-174344-open,文本甲 1:80,open,人物丙在哪里长大和居住？,In the wilderness.,0.0,False,1.0,旷野,,1.0,在旷野。,,1.0,旷野,
1,llm_prompt_high,44,uw-174344-mcq,文本甲 1:80,mcq,人物丙在哪里长大和居住？,In the wilderness.,0.0,False,1.0,在旷野,C,1.0,在旷野,C,1.0,在旷野,C
1,llm_prompt_low,1,uw-174316-open,文本甲 1:4,open,文本甲为什么写他的记述？,To assure Recipient A of certainty.,1.0,True,0.0,从开始细致调查一切。,,1.0,为了让收信者知道所学的确定性,,1.0,文本甲写记述是为了确保你所被教导的事情具有确定性。,
1,llm_prompt_low,2,uw-174316-mcq,文本甲 1:4,mcq,文本甲为什么写他的记述？,To assure Recipient A of certainty.,1.0,True,0.0,用故事娱乐收信者甲。,A,1.0,为了使收信者甲确信无疑。,B,1.0,为了使收信者甲确信无疑。,B
1,llm_prompt_low,3,uw-174317-open,文本甲 1:6,open,人物甲和人物乙为什么是义人？,They walked blamelessly in commandments.,1.0,True,0.0,他们没有孩子。,,1.0,遵守所有命令和法令毫无瑕疵,,1.0,他们两人都在至高者眼中是公义的，遵守所有主人的命令和法令毫无瑕疵。,
1,llm_prompt_low,4,uw-174317-mcq,文本甲 1:6,mcq,为什么人物甲和人物乙被认为是义人？,They walked blamelessly in commandments.,1.0,True,0.0,,,1.0,他们无可指摘地遵守了诫命。,D,1.0,他们无可指摘地遵守了诫命。,D
1,llm_prompt_low,5,uw-174318-open,文本甲 1:7,open,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,0.0,False,1.0,他们不能怀孕。,,1.0,人物乙不能怀孕,,1.0,人物乙不能怀孕，且他们年老。,
1,llm_prompt_low,6,uw-174318-mcq,文本甲 1:7,mcq,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,1.0,True,0.0,他们选择不生孩子。,C,1.0,人物乙不能生育。,D,1.0,人物乙不能生育。,D
1,llm_prompt_low,7,uw-174322-open,文本甲 1:11,open,谁在圣殿向人物甲显现？,An angel of the Master A.,0.0,False,1.0,天使,,1.0,主人甲的一位天使,,1.0,主人甲的天使,
1,llm_prompt_low,8,uw-174322-mcq,文本甲 1:11,mcq,谁在圣殿向人物甲显现？,An angel of the Master A.,1.0,True,0.0,,,1.0,主的天使。,D,1.0,主的天使。,D
1,llm_prompt_low,9,uw-174323-open,文本甲 1:12,open,人物甲如何对天使反应？,He was troubled and afraid.,1.0,True,0.0,不要怕，人物甲；你的请求 被听见了。你的妻子 人物乙 要给你生一个儿子，你要给他起名 人物丙 。,,1.0,感到震惊并被恐惧抓住,,1.0,人物甲感到震惊并被恐惧抓住。,
1,llm_prompt_low,10,uw-174323-mcq,文本甲 1:12,mcq,人物甲如何对天使反应？,He was troubled and afraid.,0.0,False,1.0,他感到惊恐并害怕。,C,1.0,他感到不安和害怕。,C,1.0,他感到不安和害怕。,C
1,llm_prompt_low,11,uw-174324-open,文本甲 1:13,open,天使对人物甲说了什么？,Do not be afraid; Person B will have a son.,0.0,False,1.0,不要怕，你的请求被听见。你的妻子 人物乙 要给你生一个儿子，你要给他起名 人物丙 。,,1.0,不要害怕，你的请求已被听见，你妻子将生一个儿子,,1.0,天使对人物甲说不要害怕，你的请求已被听见，你将得一个儿子名叫丙。,
1,llm_prompt_low,12,uw-174324-mcq,文本甲 1:13,mcq,天使对人物甲说了什么？,Do not be afraid; Person B will have a son.,0.0,False,1.0,不要害怕；人物乙将生一个儿子。,C,1.0,不要害怕；人物乙将怀孕生子。,C,1.0,不要害怕；人物乙将怀孕生子。,C
1,llm_prompt_low,13,uw-174325-open,文本甲 1:16,open,人物丙将为族群甲做什么？,Turn them back to Most High A.,0.0,False,1.0,他要带回许多 族群甲 人归向 主人甲 他们的 至高者甲 。,,1.0,使许多族群甲的人回归主人甲,,1.0,人物丙将使族群甲的人回归至高者甲。,
1,llm_prompt_low,14,uw-174325-mcq,文本甲 1:16,mcq,人物丙将为族群甲做什么？,Turn them back to Most High A.,0.0,False,1.0,使他们归向上帝。,D,1.0,使他们转向神。,D,1.0,使他们转向神。,D
1,llm_prompt_low,15,uw-174326-open,文本甲 1:17,open,人物丙的作为将为哪种人预备？,A people prepared for the Master A.,1.0,True,0.0,"主人甲 问天使：我怎能确定这事？

天使说：“我是 使者乙 。我站在 至高者甲 前面，奉派对你说话，告诉你这好消息。”",,1.0,为主人甲预备一群人,,0.0,族群甲的人,
1,llm_prompt_low,16,uw-174326-mcq,文本甲 1:17,mcq,人物丙的作为将为哪种人预备？,A people prepared for the Master A.,1.0,True,0.0,一支准备战争的民众。,A,1.0,一群为主预备的人。,D,1.0,一群为主预备的人。,D
1,llm_prompt_low,17,uw-174328-open,文本甲 1:20,open,因不信，人物甲发生了什么？,He would not speak until birth.,1.0,True,0.0,百姓等候,,1.0,闭口不能说话,,1.0,人物甲因不信遭遇了无法说话。,
1,llm_prompt_low,18,uw-174328-mcq,文本甲 1:20,mcq,因不信，人物甲发生了什么？,He would not speak until birth.,1.0,True,0.0,他被雷击中。,B,1.0,直到孩子出生前他都不能说话。,A,0.0,被逐出圣殿。,D
1,llm_prompt_low,19,uw-174329-open,文本甲 1:27,open,六个月后，使者乙访问了谁？,A virgin named Person D.,0.0,False,1.0,天使对她说：“问安，你蒙恩宠， 主人甲 与你同在。”,,1.0,人物丁,,1.0,人物丁,
