rank,chapter,id,reference,key,closed_guess,closed_correct,prior_answerability,category,clean_1.7b_correct,dead_weight,question,A,B,C,D
23,2,uw-174351-mcq,2:15,B,B,True,0.95,R,True,True,天使离开后牧羊人去了哪里？,维珥顿城,亚斯林,泰洛村,田野
24,2,uw-174352-mcq,2:16,A,A,True,0.95,R,True,True,牧羊人在亚斯林找到了谁？,芮茉、米恒和婴儿,兰维,旅馆老板,博士
25,2,uw-174354-mcq,2:22,A,A,True,0.95,R,True,True,米恒和芮茉为什么带玛伦去庙？,为他献给主,逃避兰维,庆祝节日,见韦斯
26,2,uw-174355-mcq,2:26,C,C,True,0.95,R,True,True,圣灵向韦斯显明了什么？,他将长寿,他将成为先知,他将看见主的基督,他将前往亚斯林
27,2,uw-174357-mcq,2:35,C,C,True,0.95,R,True,True,韦斯说芮茉将会经历什么？,她将远行,她将成为王后,一把剑将刺透她的心,她将有许多孩子
28,2,uw-174359-mcq,2:40,B,B,True,0.95,R,True,True,玛伦回到泰洛村后发生了什么？,他去了埃及,他成长并变得强壮,他开始行神迹,他成为教师
29,2,uw-174362-mcq,2:49,D,D,True,0.95,R,True,True,玛伦对芮茉说了什么关于寻找他的事？,我和朋友们在一起,我迷路了,我在玩耍,我必须在我父的家里
30,3,uw-174365-mcq,3:3,A,A,True,0.95,R,True,True,米珥在约旦河周围传讲什么信息？,悔改的洗礼以求赦免,和平与团结,审判与愤怒,繁荣与财富
31,3,uw-174366-mcq,3:4,C,C,True,0.95,R,True,True,米珥为谁预备道路？,门徒,罗马人,主,法利赛人
32,3,uw-174367-mcq,3:8,B,B,True,0.95,R,True,True,米珥告诉人们要产生什么？,财富与财产,悔改的果实,和平与和谐,祭祀与献祭
33,3,uw-174368-mcq,3:9,C,C,True,0.95,R,True,True,无好果子的树会发生什么？,修剪和施肥,装饰和保存,砍倒并扔入火中,被任其生长
34,3,uw-174370-mcq,3:16,A,A,True,0.95,R,True,True,米珥说有人会用什么施洗？,圣灵与火,沙与风,酒与饼,水与油
35,3,uw-174374-mcq,3:22,C,C,True,0.95,R,True,True,玛伦受洗后谁从天降下？,雷鸣之声,证人的云彩,圣灵如鸽子,天使吹号
36,4,uw-174377-mcq,4:1,A,A,True,0.95,R,True,True,谁带领玛伦进入旷野？,圣灵,一位天使,施洗米珥,魔君
37,4,uw-174378-mcq,4:2,B,B,True,0.95,R,True,True,魔君 试探玛伦多久？,30天,40天,7天,3天
38,4,uw-174379-mcq,4:3,B,B,True,0.95,R,True,True,魔君 挑战玛伦把石头变成什么？,金子,面包,水,酒
39,4,uw-174380-mcq,4:4,B,B,True,0.95,R,True,True,玛伦 说人不能单靠什么活着？,酒,面包,鱼,水
40,4,uw-174381-mcq,4:5,B,B,True,0.95,R,True,True,魔君 从高处给玛伦 展示了什么？,圣殿,世上的所有国度,维珥顿城 城,旷野
41,4,uw-174384-mcq,4:9,C,C,True,0.95,R,True,True,魔君 告诉玛伦 在 庙 做什么？,祷告,传道,从那里跳下,下拜
42,4,uw-174387-mcq,4:17,A,A,True,0.95,R,True,True,玛伦 在 会堂 里读哪卷书？,索达 先知书,诗篇,出埃及记,创世记
43,4,uw-174394-mcq,4:30,A,A,True,0.95,R,True,True,玛伦 如何避免被人群杀害？,他穿过他们的中间走过。,他飞走了。,他呼唤天使保护他。,他躲在山洞里。
44,4,uw-174395-mcq,4:34,D,D,True,0.95,R,True,True,恶魔 知道关于玛伦 什么？,玛伦 是先知。,玛伦 是教师。,玛伦 是王。,玛伦 是圣者。
45,4,uw-174396-mcq,4:36,D,D,True,0.95,R,True,True,玛伦 赶鬼之后人们有什么反应？,他们感到困惑。,他们很生气。,他们漠不关心。,他们感到惊奇。
46,4,uw-174396-mcq,4:36,D,D,True,0.95,R,True,True,玛伦 赶鬼之后人们有什么反应？,他们感到困惑。,他们很生气。,他们漠不关心。,他们感到惊奇。
47,4,uw-174397-mcq,4:40,D,D,True,0.95,R,True,True,玛伦 为病人做什么？,他送他们去看医生。,他给他们药。,他为他们祈祷。,他按手医治他们。
48,4,uw-174399-mcq,4:43,D,D,True,0.95,R,True,True,玛伦 为什么被差遣？,行神迹。,建造殿宇。,召集追随者。,传讲福音。
49,4,uw-174396-mcq,4:36,D,D,True,0.95,R,True,True,玛伦 驱魔后人们有何反应？,他们感到困惑。,他们感到愤怒。,他们漠不关心。,他们感到惊讶。
50,5,uw-174400-mcq,5:4,A,A,True,0.95,R,True,True,主吩咐亚磐将船划到哪里？,到深水处,到山上,到岸边,到市场
51,5,uw-174401-mcq,5:5,C,C,True,0.95,R,True,True,芮昂尽管一无所获，却放下了什么？,绳索,帆,网,锚
52,5,uw-174402-mcq,5:6,D,D,True,0.95,R,True,True,放下网时，网开始发生什么？,缠绕在一起,没有抓到鱼,漂走了,开始破损
53,5,uw-174403-mcq,5:8,B,B,True,0.95,R,True,True,大量捕鱼后，亚磐叫主做什么？,教导他更多,离开他,祝福鱼,和他在一起
54,5,uw-174407-mcq,5:21,A,A,True,0.95,R,True,True,为什么文士认为主的话是亵渎？,因为只有至高者能赦免罪,因为主与罪人讲话,因为主在安息日医治,因为主自称为王
55,5,uw-174408-mcq,5:24,D,D,True,0.95,R,True,True,主医治瘫痪的人显示了什么权柄？,带领军队的权柄,指挥海洋的权柄,教导律法的权柄,赦免罪的权柄
56,5,uw-174409-mcq,5:32,B,B,True,0.95,R,True,True,主说他的目的是什么？,教导法利赛人,呼召罪人悔改,领导反叛,建造新圣殿
57,5,uw-174412-mcq,5:37,C,C,True,0.95,R,True,True,如果新酒装入旧皮袋会发生什么？,酒会变成醋,酒会蒸发,酒会使皮袋破裂,酒会更好喝
58,5,uw-174403-mcq,5:8,B,B,True,0.95,R,True,True,大量捕鱼后亚磐祈祷主做什么？,教他更多,离开他,祝福鱼,和他留下来
59,6,uw-174414-mcq,6:1,C,C,True,0.95,R,True,True,玛伦的门徒在安息日摘取什么？,鱼,酒,谷物,面包
60,6,uw-174421-mcq,6:23,A,A,True,0.95,R,True,True,根据玛伦，为什么人们应该喜乐？,天上的大奖赏,地上的和平,敌人的战胜,财富的丰富
61,6,uw-174422-mcq,6:27,C,C,True,0.95,R,True,True,门徒应如何对待他们的敌人？,忽视并躲避,判断并谴责,爱并行善,争斗并抵抗
62,6,uw-174423-mcq,6:35,D,D,True,0.95,R,True,True,至高者的态度是什么？,冷漠疏远,严格且不宽恕,严厉且处罚,慈爱且仁慈
63,6,uw-174424-mcq,6:42,D,D,True,0.95,R,True,True,在去除别人眼中的刺之前，我们必须做什么？,使用放大镜,戴护目镜,祈祷许可,先去除自己眼中的梁木
64,6,uw-174427-mcq,6:47,D,D,True,0.95,R,True,True,谁像是在磐石上建房的人？,使用廉价材料的人,忽视建议的人,快速建造的人,听见并遵行的人
65,7,uw-174429-mcq,7:3,D,D,True,0.95,R,True,True,百夫长最初祈祷玛伦做什么？,喂饱饥饿的人,在会堂教导,平息风暴,来治愈他的奴仆
66,7,uw-174430-mcq,7:6,D,D,True,0.95,R,True,True,百夫长为什么派朋友去见玛伦而不亲自去？,他忙于管理士兵,他想试探玛伦,他害怕玛伦,他觉得玛伦来是配不上他的
67,7,uw-174431-mcq,7:7,D,D,True,0.95,R,True,True,百夫长希望玛伦怎样医治他的仆人？,用草药,按手医治,派医生去,只用一句话
68,7,uw-174432-mcq,7:9,D,D,True,0.95,R,True,True,玛伦怎样评价百夫长的信心？,信心薄弱,信心错误,信心常见,泰隆中也没有这样的信心
69,7,uw-174434-mcq,7:16,C,C,True,0.95,R,True,True,玛伦使那寡妇的儿子复活后人们说什么？,他是个魔法师,他是个教师,有一位伟大的先知兴起了,他是个王
70,7,uw-174436-mcq,7:26,D,D,True,0.95,R,True,True,玛伦怎样评价施洗米珥？,米珥是税吏,米珥是渔夫,米珥是普通人,米珥胜过先知
71,7,uw-174440-mcq,7:38,D,D,True,0.95,R,True,True,在法利赛人家中，城里那个妇人对玛伦做了什么？,问他问题,为他唱歌,给他面包,弄湿、擦拭、亲吻、膏抹他的脚
72,7,uw-174441-mcq,7:47,D,D,True,0.95,R,True,True,玛伦说妇人为什么爱得多？,她想引起注意,她是玛伦的亲戚,她很富有,她许多罪得了赦免
73,7,uw-174442-mcq,7:49,D,D,True,0.95,R,True,True,当玛伦赦罪时人们的反应是怎样？,他们忽视他,他们笑话他,他们赞美他,他们问谁能赦罪
74,8,uw-174444-mcq,8:11,C,C,True,0.95,R,True,True,在玛伦的比喻中，种子是什么？,天国,信徒的信心,神的话语,神的爱
75,8,uw-174445-mcq,8:12,A,A,True,0.95,R,True,True,路旁的种子代表谁？,听了，但魔鬼夺去话语的人,听懂的人,听了并结果的人,听了却被忧虑所扼杀的人
76,8,uw-174446-mcq,8:13,C,C,True,0.95,R,True,True,磐石地上的种子代表谁？,听了，被生活的忧虑所扼杀的人,听了并保留话语的人,接受话语，在试炼中跌倒的人,听了并结果的人
77,8,uw-174448-mcq,8:15,C,C,True,0.95,R,True,True,好土上的种子代表谁？,听了却被生活的忧虑所扼杀的人,听了并在试炼中跌倒的人,听了、保留并结果的人,听了但魔鬼夺去话语的人
78,8,uw-174449-mcq,8:21,A,A,True,0.95,R,True,True,玛伦说谁是他的母亲和弟兄？,听了并遵行的人,血缘关系的人,身体上跟随他的人,他的门徒
79,8,uw-174452-mcq,8:33,B,B,True,0.95,R,True,True,鬼离开人之后去了哪里？,入海中,进入猪中，在湖中淹死,进入另一个人,进入旷野
80,8,uw-174455-mcq,8:55,A,A,True,0.95,R,True,True,玛伦在黛恩家做了什么？,使黛恩的女儿复活,喂养全家,教训众人,医治黛恩的妻子
81,1,uw-174324-mcq,1:13,C,C,True,0.95,R,False,False,天使对珂温说了什么？,准备一场大饥荒。,立刻离开圣殿。,不要害怕；哈丽将怀孕生子。,建立一个新的祭坛。
82,1,uw-174332-mcq,1:35,D,D,True,0.95,R,False,False,芮茉如何以童贞女身份受孕？,一位天使会祝福她,她会祈求奇迹,米恒会娶她,圣灵将降临她身上
83,1,uw-174336-mcq,1:42,A,A,True,0.95,R,False,False,哈丽说谁是有福的？,芮茉和她的孩子,米恒和芮茉,珂温和哈丽,天使维萨
84,2,uw-174361-mcq,2:46,A,A,True,0.95,R,False,False,玛伦的父母在哪里找到他？,在殿里与教师们一起,在市场上,在田野里,在家里
85,4,uw-174382-mcq,4:7,B,B,True,0.95,R,False,False,魔君 希望玛伦 做什么？,从圣殿跳下,在他面前下拜,把石头变成面包,行神迹
86,4,uw-174388-mcq,4:21,D,D,True,0.95,R,False,False,玛伦 说那天实现了什么？,珈伦的预言,诗篇,摩西的律法,索达 的话语
87,4,uw-174389-mcq,4:24,A,A,True,0.95,R,False,False,先知在本国受到什么样的接待？,没有先知被接受,他被欢迎,他受到赞扬,他受到尊敬
88,4,uw-174398-mcq,4:41,B,B,True,0.95,R,False,False,被赶出的 恶魔 说了什么？,玛伦 是教师。,玛伦 是神的儿子。,玛伦 是先知。,玛伦 是王。
89,4,uw-174398-mcq,4:41,B,B,True,0.95,R,False,False,被赶出的 恶魔 说了什么？,玛伦 是教师。,玛伦 是神的儿子。,玛伦 是先知。,玛伦 是王。
90,4,uw-174398-mcq,4:41,B,B,True,0.95,R,False,False,恶魔被驱逐时说什么？,玛伦 是一位老师。,玛伦 是神的儿子。,玛伦 是一位先知。,玛伦 是一位王。
91,5,uw-174404-mcq,5:10,D,D,True,0.95,R,False,False,主说亚磐将来会做什么？,捕更多的鱼,造船,教导儿童,捕人
92,8,uw-174447-mcq,8:14,A,A,True,0.95,R,False,False,荆棘里的种子代表谁？,听了话语却被生活的忧虑扼杀的人,听了并保留话语的人,听了并在试炼中跌倒的人,听了并结果的人
93,3,uw-174375-mcq,3:22(#2),C,C,True,0.45,D,True,False,天上的声音说了什么？,这是我选召的先知,看哪，上帝的羔羊,你是我所爱的儿子,预备主的道路
94,4,uw-174392-mcq,4:28,C,C,True,0.45,D,True,False,人们如何回应玛伦 的榜样？,感恩地,困惑地,充满愤怒地,喜悦地
95,5,uw-174403-mcq,5:8,B,B,True,0.45,D,True,False,大量捕鱼后，亚磐叫主做什么？,教导他更多,离开他,祝福鱼,和他在一起
96,5,uw-174406-mcq,5:20,B,B,True,0.45,D,True,False,主对瘫痪的人说了什么？,他应当多祷告,他的罪被赦免了,他得了医治,他将能行走
97,5,uw-174410-mcq,5:35,D,D,True,0.45,D,True,False,主说他的门徒什么时候禁食？,当他们饿的时候,在宴席之前,在安息日,在主被带走之后
98,6,uw-174415-mcq,6:5,B,B,True,0.45,D,True,False,玛伦为自己宣称什么称号？,万王之王,安息日的主,人子,和平之君
99,6,uw-174428-mcq,6:49,D,D,True,0.45,D,True,False,谁像是无根基建房的人？,使用坚固材料的人,遵守指示的人,建在沙土上的人,听见但不遵行的人
100,8,uw-174454-mcq,8:48,C,C,True,0.45,D,True,False,是什么医治了流血的妇人？,众人的信心,玛伦的话语,她对玛伦的信心,摸玛伦的衣襟
101,4,uw-174393-mcq,4:29,D,A,False,0.45,D,True,False,人们如何试图杀死玛伦？,用石头打他,钉他十字架,淹死他,把他扔下 悬崖
102,1,uw-174339-mcq,1:63,A,A,True,0.25,N,True,False,珂温写了关于孩子名字的什么？,他的名字是米珥,他的名字是珂温,他的名字是米恒,他的名字是芮谷
