chapter,id,reference,correct,prior_answerability,open_book_choice,open_book_correct,dynamic_range,real_clean_correct,dead_weight,question,opt_A,opt_B,opt_C,opt_D,closed_guesses
8,uw-174448-mcq,8:15,C,1.00,C,1,0.0,True,True,好土上的种子代表谁？,听了道，随即被魔鬼夺去,听了道，在试炼中跌倒,听了道，牢牢持守并结出果实,听了道，被今生的忧虑挤住,CCCCC
7,uw-174442-mcq,7:49,D,0.80,C,0,-0.8,True,True,当玛伦赦罪时人们的反应是怎样？,他们不理会他,他们讥笑他,他们高声赞美他,他们彼此议论：这是谁，竟能赦罪,DDDDB
1,uw-174324-mcq,1:13,B,0.80,B,1,0.19999999999999996,False,True,天使对珂温说了什么？,要预备迎接大饥荒,不要惧怕，你妻子必得一子,立刻离开圣殿洁净自己,你要建造一座新的祭坛,BBABB
7,uw-174441-mcq,7:47,D,0.80,D,1,0.19999999999999996,True,True,玛伦说妇人为什么爱得多？,她想引起众人注意,她是玛伦的亲戚,她非常富有慷慨,她许多的罪都蒙了赦免,DDDAD
1,uw-174329-mcq,1:27,C,0.60,B,0,-0.6,True,False,六个月后维萨拜访了谁？,一位年老的先知妇人,一位祭司的妻子,一位名叫芮茉的年轻童女,一位富有的寡妇,ACACC
1,uw-174326-mcq,1:17,B,0.60,B,1,0.4,True,False,米珥的行为将预备什么人？,一群预备好听从先知的人,一群预备好归顺上帝的人,一群预备好等候弥赛亚的人,一群预备好复兴君王国度的人,BCBCB
1,uw-174325-mcq,1:16,B,0.60,B,1,0.4,True,False,米珥将为泰隆做什么？,带领百姓脱离外邦的压迫,使许多百姓归回上帝,教导百姓耕种与建造,为百姓建立一座新圣殿,BBABA
2,uw-174361-mcq,2:46,A,0.60,A,1,0.4,False,False,玛伦的父母在哪里找到他？,在圣殿中，坐在众教师当中,在热闹的集市上,在城外的田野里,在亲戚的家里,ADAAD
3,uw-174365-mcq,3:3,B,0.60,B,1,0.4,True,False,米珥在约旦河周围传讲什么信息？,要守全律法、行洁净的礼仪,要痛悔归正、受洗除罪,要献祭赎罪、得神悦纳,要起来反抗外邦的辖制,BBABA
4,uw-174398-mcq,4:41,B,0.60,B,1,0.4,False,False,被赶出的 恶魔 说了什么？,玛伦是一位教师,玛伦是神的儿子,玛伦是一位先知,玛伦是万民的君王,BCABB
6,uw-174415-mcq,6:5,B,0.60,B,1,0.4,True,False,玛伦为自己宣称什么称号？,万王之王,安息日的主,芮谷的子孙,和平的君王,BDBBD
7,uw-174429-mcq,7:3,D,0.60,D,1,0.4,True,False,百夫长最初祈祷玛伦做什么？,喂饱饥饿的众人,到会堂里教导,平息一场风暴,来医治他的仆人,DDBCD
4,uw-174377-mcq,4:1,B,0.40,D,0,-0.4,True,False,谁带领玛伦进入旷野？,一位天使,至高者的圣灵,先知施洗米珥,试探人的魔君,BABAA
8,uw-174446-mcq,8:13,C,0.40,A,0,-0.4,True,False,磐石地上的种子代表谁？,听了道，被今生的思虑挤住,听了道，牢牢持守并结果,听了道，欢喜领受却在试炼中跌倒,听了道，随即被魔鬼夺去,BCCBB
1,uw-174339-mcq,1:63,A,0.40,A,1,0.6,True,False,珂温写了关于孩子名字的什么？,他的名字是米珥,他的名字要随父亲叫珂温,他的名字是米恒,他的名字是芮谷,ABBAB
4,uw-174384-mcq,4:9,C,0.40,C,1,0.6,True,False,魔君 告诉玛伦 在 庙 做什么？,在那里祷告,在那里传道,从殿顶纵身跳下,向魔君下拜,BCCAA
4,uw-174395-mcq,4:34,D,0.40,D,1,0.6,True,False,恶魔 知道关于玛伦 什么？,玛伦是一位先知,玛伦是一位教师,玛伦是一位君王,玛伦是神的圣者,AADDA
4,uw-174398-mcq,4:41,B,0.40,B,1,0.6,False,False,恶魔被驱逐时说什么？,玛伦是一位教师,玛伦是神的儿子,玛伦是一位先知,玛伦是万民的君王,DBDDB
5,uw-174403-mcq,5:8,B,0.40,B,1,0.6,True,False,大量捕鱼后，亚磐叫主做什么？,教导他更多的道理,离开他这个罪人,祝福这一网的鱼,留下与他同住,BCCCB
5,uw-174410-mcq,5:35,D,0.40,D,1,0.6,True,False,主说他的门徒什么时候禁食？,当他们饥饿的时候,在筵席开始之前,在每个安息日,等新郎离开他们以后,CCCDD
7,uw-174432-mcq,7:9,D,0.40,D,1,0.6,True,False,玛伦怎样评价百夫长的信心？,信心虽有却仍嫌不足,信心与常人无异,信心固然可嘉，却非最大,连泰隆中也未见过这样的信心,AAADD
8,uw-174444-mcq,8:11,C,0.40,C,1,0.6,True,False,在玛伦的比喻中，种子是什么？,天上的国度,信徒的信心,上帝的话语,神对人的慈爱,BBCDC
1,uw-174330-mcq,1:31,B,0.20,D,0,-0.2,True,False,芮茉会发生什么？,她将成为一国的王后,她要怀胎生下一个儿子,她将远行前往异地,她将得着先知的恩赐,DBDDD
1,uw-174332-mcq,1:35,C,0.20,A,0,-0.2,False,False,芮茉如何以童贞女身份受孕？,至高者差天使赐她能力,她凭着信心祈求就成孕,至尊者的圣灵要临到她,她的未婚夫米恒要先娶她,CAAAA
4,uw-174387-mcq,4:17,A,0.20,D,0,-0.2,True,False,玛伦 在 会堂 里读哪卷书？,先知索达的书卷,芮谷的诗篇,摩西的律法书,先知珈伦的书卷,DCDAC
2,uw-174346-mcq,2:4,C,0.20,C,1,0.8,True,False,米恒为什么去亚斯林？,去那里寻找工作,去探望家中的亲戚,去应人口普查的登记,去躲避危险,DCDDD
2,uw-174354-mcq,2:22,A,0.20,A,1,0.8,True,False,米恒和芮茉为什么带玛伦去庙？,为要把他献给上帝,为躲避君王的追杀,为庆祝逾越节期,为求见韦斯,BBBAB
4,uw-174379-mcq,4:3,B,0.20,B,1,0.8,True,False,魔君 挑战玛伦把石头变成什么？,变成黄金,变成食物充饥,变成清水,变成美酒,DBADA
4,uw-174398-mcq,4:41,B,0.20,B,1,0.8,False,False,被赶出的 恶魔 说了什么？,玛伦是一位教师,玛伦是神的儿子,玛伦是一位先知,玛伦是万民的君王,BDCCD
5,uw-174403-mcq,5:8,B,0.20,B,1,0.8,True,False,大量捕鱼后亚磐祈祷主做什么？,教导他更多的道理,离开他这个罪人,祝福这一网的鱼,留下与他同住,CBCCC
7,uw-174430-mcq,7:6,D,0.20,D,1,0.8,True,False,百夫长为什么派朋友去见玛伦而不亲自去？,他忙于管理士兵,他想试探玛伦,他心里害怕玛伦,他自觉不配劳动玛伦亲自前来,ABDBB
7,uw-174431-mcq,7:7,D,0.20,D,1,0.8,True,False,百夫长希望玛伦怎样医治他的仆人？,用草药医治,亲手按在他身上,派一位医生前去,只需说一句话,BBDBB
7,uw-174434-mcq,7:16,C,0.20,C,1,0.8,True,False,玛伦使那寡妇的儿子复活后人们说什么？,他是个行法术的术士,他是个了不起的教师,有一位大先知在我们中间兴起了,他是我们所盼望的君王,CDDAA
8,uw-174454-mcq,8:48,C,0.20,C,1,0.8,True,False,是什么医治了流血的妇人？,众人的信心,玛伦所说的话,她对玛伦的信心,她摸了玛伦的衣角,BBBCB
8,uw-174455-mcq,8:55,A,0.20,A,1,0.8,True,False,玛伦在黛恩家做了什么？,使黛恩的女儿从死里复活,喂饱了黛恩全家,向众人讲道教训,医好了黛恩的妻子,ABBBC
2,uw-174349-mcq,2:9,D,0.00,C,0,0.0,True,False,牧羊人如何回应天使？,他们勃然大怒,他们漠不关心,他们欢喜雀跃,他们惊恐万分,CCCCC
1,uw-174318-mcq,1:7,B,0.00,B,1,1.0,True,False,珂温和哈丽为什么没有孩子？,他们许愿终身不生养,哈丽的身体不能生育,他们常年在外奔波服事,他们的孩子早年夭折,AAAAA
1,uw-174328-mcq,1:20,A,0.00,A,1,1.0,True,False,珂温因不信遭遇了什么？,他不能开口说话，直到应许成就,他被逐出圣殿不得供职,他的双眼暂时失明,他被雷电击打倒地,BBBBB
1,uw-174335-mcq,1:41,B,0.00,B,1,1.0,True,False,当芮茉问候哈丽时，哈丽的孩子做了什么？,忽然安静不动,在母腹中雀跃,使哈丽感到疼痛,让哈丽昏了过去,AAAAA
1,uw-174336-mcq,1:42,A,0.00,A,1,1.0,False,False,哈丽说谁是有福的？,芮茉和她腹中的孩子,珂温和哈丽夫妇,未婚夫米恒和芮茉,天使维萨,BBBBB
1,uw-174344-mcq,1:80,C,0.00,C,1,1.0,True,False,米珥在哪里长大和生活？,在圣殿中受教,在泰洛村的家中,在荒野旷地中,在维珥顿城里,BBBBB
2,uw-174347-mcq,2:7,C,0.00,C,1,1.0,True,False,芮茉把她刚出生的儿子放在哪里？,放在客房的床上,放在编好的摇篮里,放在喂牲口的槽里,放在铺草的篮子里,BBBBB
2,uw-174351-mcq,2:15,B,0.00,B,1,1.0,True,False,天使离开后牧羊人去了哪里？,维珥顿城,亚斯林,泰洛村,回到自己的田野,DDCDD
2,uw-174352-mcq,2:16,A,0.00,A,1,1.0,True,False,牧羊人在亚斯林找到了谁？,芮茉、米恒和那婴孩,一群祭司和文士,客店的老板,远方来的博士,DDDDD
2,uw-174362-mcq,2:49,D,0.00,D,1,1.0,True,False,玛伦对芮茉说了什么关于寻找他的事？,我一直和朋友们在一起,我在这里敬拜至高者,我不小心走失了,我理当在我父的家中,CCCCC
3,uw-174375-mcq,3:22(#2),B,0.00,B,1,1.0,True,False,天上的声音说了什么？,看哪，这是主的先知,你是我所疼爱的儿子，我心喜悦,这是除去世人罪孽的羔羊,我今日立你作君王,CCACC
4,uw-174381-mcq,4:5,B,0.00,B,1,1.0,True,False,魔君 从高处给玛伦 展示了什么？,圣殿的荣美,天下万国的荣华,应许之地的全境,旷野的尽头,CACCC
4,uw-174388-mcq,4:21,D,0.00,D,1,1.0,False,False,玛伦 说那天实现了什么？,珈伦的预言,芮谷的诗篇,摩西的律法,索达先知的话,AAAAA
4,uw-174389-mcq,4:24,A,0.00,A,1,1.0,False,False,先知在本国受到什么样的接待？,先知在自己家乡总是不受敬重,先知只被本乡人所接纳,先知起初受欢迎，后被厌弃,先知唯独在家乡受尊崇,CCCCC
4,uw-174392-mcq,4:28,C,0.00,C,1,1.0,True,False,人们如何回应玛伦 的榜样？,满怀感激,大惑不解,个个怒气填胸,满心欢喜,ADAAA
4,uw-174393-mcq,4:29,D,0.00,D,1,1.0,True,False,人们如何试图杀死玛伦？,用石头砸死他,把他钉在十字架上,把他投进河里淹死,把他从悬崖上推下去,BBBBB
4,uw-174394-mcq,4:30,A,0.00,A,1,1.0,True,False,玛伦 如何避免被人群杀害？,他从人群当中径直走出,他忽然飞上了天,他呼求天使来搭救,他藏进了山洞里,CCCCC
5,uw-174400-mcq,5:4,A,0.00,A,1,1.0,True,False,主吩咐亚磐将船划到哪里？,划到水深之处,划回岸边的浅滩,划向对岸的城镇,划到隐蔽的港湾,BDBBB
5,uw-174406-mcq,5:20,B,0.00,B,1,1.0,True,False,主对瘫痪的人说了什么？,你要多多祷告,你的罪得了赦免,你的病已经好了,你起来就能行走,CCCCC
5,uw-174407-mcq,5:21,A,0.00,A,1,1.0,True,False,为什么文士认为主的话是亵渎？,因为唯有上帝才能赦免人的罪,因为他与罪人来往交谈,因为他在安息日治病,因为他自称是君王,BBBBB
6,uw-174424-mcq,6:42,D,0.00,D,1,1.0,True,False,在去除别人眼中的刺之前，我们必须做什么？,先请人帮你一同察看,先求神赐下智慧,先数算他所有的过错,先除去自己眼中的大梁,BBBBB
6,uw-174427-mcq,6:47,D,0.00,D,1,1.0,True,False,谁像是在磐石上建房的人？,使用昂贵材料的人,建造得飞快的人,忽视一切劝告的人,听了我的话就去行的人,CCCCC
6,uw-174428-mcq,6:49,D,0.00,D,1,1.0,True,False,谁像是无根基建房的人？,使用坚固材料的人,遵照指示建造的人,把房子建在沙土上的人,听了却不去行的人,CCCCC
7,uw-174436-mcq,7:26,D,0.00,D,1,1.0,True,False,玛伦怎样评价施洗米珥？,米珥不过是个税吏,米珥只是个寻常渔夫,米珥与常人无异,米珥比先知更大,AAAAA
8,uw-174445-mcq,8:12,A,0.00,A,1,1.0,True,False,路旁的种子代表谁？,听了道，随后魔鬼把话夺去，使他不能信,听了道，欢喜领受却没有根基,听了道，被今生的思虑挤住,听了道，持守到底并结出果实,BBBBB
8,uw-174447-mcq,8:14,A,0.00,A,1,1.0,False,False,荆棘里的种子代表谁？,听了道，却被今生的忧虑和财富挤住,听了道，牢牢持守并结果,听了道，在试炼中跌倒,听了道，随即被魔鬼夺去,BBBBB
8,uw-174449-mcq,8:21,A,0.00,A,1,1.0,True,False,玛伦说谁是他的母亲和弟兄？,凡听了神的话并去遵行的人,与他有血缘关系的亲人,身体上跟随他的人,他所拣选的十二门徒,BBBBB
8,uw-174452-mcq,8:33,B,0.00,B,1,1.0,True,False,鬼离开人之后去了哪里？,直接沉入海底,进入猪群，奔入湖中淹死,转到另一个人身上,逃往旷野荒地,CCCCC
