chapter,item_id,reference,q_type,n_methods,mean_score,rho,note,question
luke1,uw-174317-open,文本甲 1:6,open,8,0.667,0.436,,人物甲和人物乙为什么是义人？
luke1,uw-174325-mcq,文本甲 1:16,mcq,8,0.833,0.436,,人物丙将为族群甲做什么？
luke1,uw-174342-mcq,文本甲 1:68,mcq,8,0.833,0.436,,至高者甲完成了什么使人物甲称赞？
luke2,uw-174346-mcq,文本甲 2:4,mcq,8,0.688,0.436,,人物戊为什么去地点03？
luke2,uw-174359-mcq,文本甲 2:40,mcq,8,0.688,0.436,,人物己回到村庄甲后发生了什么？
luke3,uw-174366-open,文本甲 3:4,open,8,0.5,0.436,,人物丙为谁预备道路？
luke4,uw-174395-mcq,__文本甲__ 4:34,mcq,8,0.646,0.436,,恶魔知道关于__人物己__什么？
luke8,uw-174454-mcq,文本甲 8:48,mcq,8,0.146,0.436,,是什么医治了流血的妇人？
luke5,uw-174403-open,Luke 5:8,open,8,0.625,0.416,,人物01想让主人甲做什么？
luke8,uw-174445,Luke 8:12,open,6,0.333,0.414,,路旁的种子是谁？
luke1,uw-174341-mcq,文本甲 1:66,mcq,8,0.708,0.412,,每个人都意识到了孩子的什么？
luke1,uw-174343-mcq,文本甲 1:77,mcq,8,0.708,0.412,,人物甲预言人物丙将帮助人们知道什么？
luke3,uw-174365-open,文本甲 3:3,open,8,0.625,0.412,,人物丙在约旦河边传讲什么信息？
luke3,uw-174367-mcq,文本甲 3:8,mcq,8,0.708,0.412,,人物丙告诉人们要结出什么？
luke3,uw-174375-open,文本甲 3:22 (#2),open,8,0.958,0.412,,天上的声音说什么？
luke3,uw-174375-mcq,文本甲 3:22 (#2),mcq,8,0.958,0.412,,天上的声音说什么？
luke5,uw-174400-mcq,Luke 5:4,mcq,8,0.625,0.412,,主人甲吩咐人物01将船划到哪里？
luke1,uw-174339-open,文本甲 1:63,open,8,0.875,0.405,,人物甲写了关于孩子名字的什么？
luke5,uw-174407-mcq,Luke 5:21,mcq,8,0.792,0.394,,为什么文士认为主人甲的话是亵渎？
luke6,uw-174428-mcq,文本甲 6:49,mcq,8,0.875,0.394,,谁像是无根基建房的人？
luke8,uw-174446,Luke 8:13,open,6,0.167,0.393,,磐石上的种子是谁？
luke8,uw-174455,Luke 8:55,open,6,0.167,0.393,,人物己在该隐家做了什么？
luke2,uw-174357-mcq,文本甲 2:35,mcq,8,0.812,0.391,,人物03说人物丁将会发生什么？
luke2,uw-174362-mcq,文本甲 2:49,mcq,8,0.458,0.391,,人物己对人物丁说关于寻找他的什么？
luke7,uw-174436-mcq,文本甲 7:26,mcq,8,0.479,0.391,,人物己怎样评价施洗人物丙？
luke3,uw-174365-mcq,文本甲 3:3,mcq,8,0.75,0.378,,人物丙在约旦河边传讲什么信息？
luke7,uw-174440-open,文本甲 7:38,open,8,0.75,0.365,,城中的妇人对人物己做了什么？
luke4,uw-174399-open,__文本甲__ 4:43,open,8,0.604,0.355,,__人物己__为什么被差遣？
luke8,uw-174447-mcq,文本甲 8:14,mcq,8,0.438,0.355,,荆棘里的种子代表谁？
luke2,uw-174349-open,文本甲 2:9,open,8,0.708,0.353,,群体01对实体01有什么反应？
luke5,uw-174400-open,Luke 5:4,open,8,0.5,0.345,,主人甲吩咐人物01做什么？
luke4,uw-174382-open,__文本甲__ 4:7,open,8,0.292,0.34,,实体01想让__人物己__做什么？
luke8,uw-174449-open,文本甲 8:21,open,8,0.604,0.334,,谁是人物己的母亲和弟兄？
luke4,uw-174398-mcq,__文本甲__ 4:41,mcq,8,0.396,0.332,,恶魔被赶出时说什么？
luke2,uw-174357-open,文本甲 2:35,open,8,0.312,0.327,,人物03说人物丁将会发生什么？
luke3,uw-174374-mcq,文本甲 3:22,mcq,8,0.833,0.327,,人物己受洗后谁从天而降？
luke2,uw-174355-mcq,文本甲 2:26,mcq,8,0.833,0.316,,灵甲向人物03启示了什么？
luke4,uw-174394-open,__文本甲__ 4:30,open,8,0.396,0.307,,__人物己__如何避免被杀？
luke7,uw-174432-mcq,文本甲 7:9,mcq,8,0.5,0.302,,人物己怎样评价角色01的信心？
luke2,uw-174347-mcq,文本甲 2:7,mcq,8,0.812,0.3,,人物丁把刚出生的儿子放在哪里？
luke1,uw-174317-mcq,文本甲 1:6,mcq,8,0.792,0.282,,人物甲和人物乙为什么被认为是义人？
luke1,uw-174328-mcq,文本甲 1:20,mcq,8,0.125,0.282,,人物甲因不信遭遇了什么？
luke1,uw-174340-open,文本甲 1:64,open,8,0.875,0.282,,人物甲写完名字后发生了什么？
luke5,uw-174406-open,Luke 5:20,open,8,0.875,0.282,,主人甲对瘫痪的人说了什么？
luke5,uw-174408-mcq,Luke 5:24,mcq,8,0.792,0.282,,主人甲医治瘫痪的人显示了什么权柄？
luke4,uw-174392-open,__文本甲__ 4:28,open,8,0.5,0.275,,人们如何回应__人物己__的榜样？
luke1,uw-174322-open,文本甲 1:11,open,8,0.833,0.247,,谁在圣殿向人物甲显现？
luke3,uw-174366-mcq,文本甲 3:4,mcq,8,0.958,0.247,,人物丙为谁预备道路？
luke4,uw-174381-mcq,__文本甲__ 4:5,mcq,8,0.646,0.247,,实体01从__地点02__向__人物己__展示了什么？
luke4,uw-174396-open,__文本甲__ 4:36,open,8,0.646,0.247,,__人物己__赶出恶魔后人们有什么反应？
luke7,uw-174441-open,文本甲 7:47,open,8,0.604,0.233,,为什么妇人爱得多？
luke7,uw-174440-mcq,文本甲 7:38,mcq,8,0.667,0.231,,在群体08家中，城里那个妇人对人物己做了什么？
luke1,uw-174329-open,文本甲 1:27,open,8,0.5,0.23,,六个月后使者乙拜访了谁？
luke1,uw-174322-mcq,文本甲 1:11,mcq,8,0.833,0.218,,谁在圣殿向人物甲显现？
luke6,uw-174422-mcq,文本甲 6:27,mcq,8,0.833,0.218,,群体02应如何对待他们的敌人？
luke5,uw-174403-mcq,Luke 5:8,mcq,8,0.708,0.214,,大量捕鱼后人物01请求主人甲做什么？
luke1,uw-174324-open,文本甲 1:13,open,8,0.792,0.209,,天使对人物甲说了什么？
luke1,uw-174335-open,文本甲 1:41,open,8,0.708,0.209,,当人物丁问候人物乙时，人物乙的孩子做了什么？
luke4,uw-174397-open,__文本甲__ 4:40,open,8,0.771,0.192,,__人物己__为病人做什么？
luke7,uw-174430-open,文本甲 7:6,open,8,0.479,0.192,,角色01为什么派朋友去见人物己？
luke1,uw-174328-open,文本甲 1:20,open,8,0.583,0.183,,人物甲因不信遭遇了什么？
luke3,uw-174368-open,文本甲 3:9,open,8,0.792,0.169,,没有好果子的树会怎样？
luke7,uw-174441-mcq,文本甲 7:47,mcq,8,0.875,0.169,,人物己说妇人为什么爱得多？
luke7,uw-174429-mcq,文本甲 7:3,mcq,8,0.479,0.156,,角色01最初请求人物己做什么？
luke1,uw-174339-mcq,文本甲 1:63,mcq,8,0.5,0.151,,人物甲写了关于孩子名字的什么？
luke4,uw-174377-mcq,__文本甲__ 4:1,mcq,8,0.562,0.15,,谁带领人物己进入旷野？
luke2,uw-174354-open,文本甲 2:22,open,8,0.729,0.137,,人物戊和人物丁为什么带人物己去场所甲？
luke8,uw-174447,Luke 8:14,open,6,0.167,0.131,,荆棘中的种子是谁？
luke6,uw-174421-open,文本甲 6:23,open,8,0.25,0.129,,根据人物己，为什么人们应该喜乐？
luke1,uw-174331-mcq,文本甲 1:33,mcq,8,0.917,0.126,,这个孩子会做什么？
luke4,uw-174387-open,__文本甲__ 4:17,open,8,0.562,0.124,,__人物己__在地点03里读了哪本书？
luke8,uw-174446-mcq,文本甲 8:13,mcq,8,0.229,0.109,,磐石地上的种子代表谁？
luke8,uw-174445-mcq,文本甲 8:12,mcq,8,0.625,0.086,,路旁的种子代表谁？
luke1,uw-174325-open,文本甲 1:16,open,8,0.75,0.056,,人物丙将为族群甲做什么？
luke4,uw-174384-open,__文本甲__ 4:9,open,8,0.375,0.05,,实体01告诉__人物己__在场所甲做什么？
luke4,uw-174388-open,__文本甲__ 4:21,open,8,0.458,0.038,,__人物己__说那天实现了什么？
luke4,uw-174398-open,__文本甲__ 4:41,open,8,0.25,0.027,,恶魔被赶出时说什么？
luke2,uw-174351-mcq,文本甲 2:15,mcq,8,0.833,0.0,,实体01离开后群体01去哪儿？
luke4,uw-174380-mcq,__文本甲__ 4:4,mcq,8,0.917,0.0,,__人物己__说人不可单靠什么活着？
luke4,uw-174389-mcq,__文本甲__ 4:24,mcq,8,0.438,0.0,,先知在本国会受到怎样的接待？
luke5,uw-174408-open,Luke 5:24,open,8,0.833,0.0,,主人甲通过医治显示了什么权柄？
luke5,uw-174402-open,Luke 5:6,open,8,0.542,-0.012,,他们放下网之后发生了什么？
luke5,uw-174410-open,Luke 5:35,open,8,0.167,-0.014,,主人甲的门徒什么时候禁食？
luke1,uw-174336-open,文本甲 1:42,open,8,0.25,-0.026,,人物乙说谁是有福的？
luke8,uw-174444-open,文本甲 8:11,open,8,0.896,-0.031,,在人物己的比喻中，种子是什么？
luke3,uw-174370-mcq,文本甲 3:16,mcq,8,0.542,-0.056,,人物丙说有人将用什么施洗？
luke6,uw-174414-mcq,文本甲 6:1,mcq,8,0.875,-0.056,,人物己的群体02在安息日摘取什么？
luke1,uw-174333-open,文本甲 1:35 (#2),open,8,0.708,-0.063,,圣婴是谁的儿子？
luke8,uw-174448-open,文本甲 8:15,open,8,0.562,-0.076,,好土上的种子是谁？
luke7,uw-174442-open,文本甲 7:49,open,8,0.458,-0.078,,人们对人物己赦罪的反应是什么？
luke4,uw-174379-mcq,__文本甲__ 4:3,mcq,8,0.958,-0.082,,实体01挑战__人物己__将石头变成什么？
luke4,uw-174393-mcq,__文本甲__ 4:29,mcq,8,0.646,-0.099,,人们如何试图杀死__人物己__？
luke3,uw-174367-open,文本甲 3:8,open,8,0.333,-0.109,,人物丙告诉人们做什么？
luke2,uw-174355-open,文本甲 2:26,open,8,0.5,-0.124,,灵甲向人物03启示了什么？
luke2,uw-174352-mcq,文本甲 2:16,mcq,8,0.729,-0.151,,群体01在地点03找到了谁？
luke7,uw-174442-mcq,文本甲 7:49,mcq,8,0.292,-0.151,,当人物己赦罪时人们的反应是怎样？
luke7,uw-174432-open,文本甲 7:9,open,8,0.625,-0.165,,人物己怎样评价角色01的信心？
luke1,uw-174323-open,文本甲 1:12,open,8,0.75,-0.183,,人物甲对天使的反应如何？
luke8,uw-174444,Luke 8:11,open,6,0.667,-0.207,,在人物己的比喻中，种子是什么？
luke8,uw-174455-mcq,文本甲 8:55,mcq,8,0.708,-0.217,,人物己在人物05家做了什么？
luke1,uw-174336-mcq,文本甲 1:42,mcq,8,0.375,-0.22,,人物乙说谁是有福的？
luke2,uw-174347-open,文本甲 2:7,open,8,0.208,-0.222,,人物丁把刚出生的儿子放在哪里？
luke1,uw-174342-open,文本甲 1:68,open,8,0.75,-0.235,,至高者甲完成了什么使人物甲称赞？
luke1,uw-174329-mcq,文本甲 1:27,mcq,8,0.708,-0.247,,六个月后使者乙拜访了谁？
luke1,uw-174326-mcq,文本甲 1:17,mcq,8,0.875,-0.282,,人物丙的行为将预备什么人？
luke1,uw-174343-open,文本甲 1:77,open,8,0.458,-0.326,,人物甲预言人物丙会帮助人们知道什么？
luke6,uw-174427-open,文本甲 6:47,open,8,0.5,-0.327,,谁像是在磐石上建造的人？
luke4,uw-174379-open,__文本甲__ 4:3,open,8,0.5,-0.35,,实体01挑战__人物己__做什么？
luke2,uw-174350-open,文本甲 2:11,open,8,0.688,-0.358,,实体01把什么消息告诉群体01？
luke6,uw-174428-open,文本甲 6:49,open,8,0.75,-0.378,,谁像是无根基建造的人？
luke5,uw-174412-open,Luke 5:37,open,8,0.792,-0.385,,如果新酒装在旧皮袋里会怎样？
luke6,uw-174414-open,文本甲 6:1,open,8,0.667,-0.386,,人物己的群体02在安息日做什么？
luke8,uw-174452,Luke 8:33,open,6,0.167,-0.393,,撒旦离开人后去了哪里？
luke1,uw-174318-open,文本甲 1:7,open,8,0.958,-0.412,,人物甲和人物乙为什么没有孩子？
luke1,uw-174318-mcq,文本甲 1:7,mcq,8,0.708,-0.412,,人物甲和人物乙为什么没有孩子？
luke4,uw-174378-open,__文本甲__ 4:2,open,8,0.917,-0.412,,实体01试探__人物己__多长时间？
luke5,uw-174402-mcq,Luke 5:6,mcq,8,0.708,-0.412,,放下网时，网开始发生什么？
luke6,uw-174423-mcq,文本甲 6:35,mcq,8,0.958,-0.412,,至高者甲的态度是什么？
luke8,uw-174444-mcq,文本甲 8:11,mcq,8,0.958,-0.412,,在人物己的比喻中，种子是什么？
luke2,uw-174351-open,文本甲 2:15,open,8,0.729,-0.426,,实体01离开后群体01做了什么？
luke4,uw-174381-open,__文本甲__ 4:5,open,8,0.667,-0.463,,实体01从__地点02__向__人物己__展示了什么？
luke4,uw-174395-open,__文本甲__ 4:34,open,8,0.583,-0.469,,恶魔知道关于__人物己__什么？
luke8,uw-174452-open,文本甲 8:33,open,8,0.354,-0.536,,鬼离开人之后去了哪里？
luke8,uw-174454-open,文本甲 8:48,open,8,0.646,-0.575,,是什么医治了流血的妇人？
luke8,uw-174452-mcq,文本甲 8:33,mcq,8,0.958,-0.577,,鬼离开人之后去了哪里？
luke1,uw-174341-open,文本甲 1:66,open,8,0.208,-0.678,,每个人都意识到了孩子的什么？
luke5,uw-174407-open,Luke 5:21,open,8,0.667,-0.764,,文士为什么认为主人甲的话是亵渎？
luke2,uw-174359-open,文本甲 2:40,open,8,0.479,-0.913,,人物己回到村庄甲后发生了什么？
luke1,uw-174323-mcq,文本甲 1:12,mcq,8,1.0,,degenerate (all methods tie),人物甲对天使的反应如何？
luke4,uw-174384-mcq,__文本甲__ 4:9,mcq,8,1.0,,degenerate (all methods tie),实体01告诉__人物己__在场所甲做什么？
luke4,uw-174397-mcq,__文本甲__ 4:40,mcq,8,1.0,,degenerate (all methods tie),__人物己__为病人做什么？
luke5,uw-174406-mcq,Luke 5:20,mcq,8,0.667,,degenerate (all methods tie),主人甲对瘫痪的人说了什么？
luke5,uw-174412-mcq,Luke 5:37,mcq,8,0.667,,degenerate (all methods tie),如果新酒装入旧皮袋会发生什么？
luke6,uw-174415-mcq,文本甲 6:5,mcq,8,0.667,,degenerate (all methods tie),人物己为自己宣称什么称号？
luke8,uw-174448,Luke 8:15,open,6,0.0,,degenerate (all methods tie),好地上的种子是谁？
luke8,uw-174449,Luke 8:21,open,6,0.0,,degenerate (all methods tie),人物己的母亲和兄弟是谁？
luke8,uw-174448-mcq,文本甲 8:15,mcq,8,1.0,,degenerate (all methods tie),好土上的种子代表谁？
