chapter,item_id,item_index,q_type,reference,question,method_score_range,method_order
luke4,uw-174389-mcq,20,mcq,Luke 4:24,先知在本国受到什么样的接待？,1.0,llm_prompt_low > mBART-50=nllb-200-1.3B > helsinki > llm_prompt_medium=nllb-200-distilled-600M > google_word_by_word=llm_prompt_high
luke4,uw-174392-open,21,open,Luke 4:28,人们如何回应耶稣的榜样？,1.0,nllb-200-distilled-600M > llm_prompt_high=mBART-50=nllb-200-1.3B > google_word_by_word=llm_prompt_low=llm_prompt_medium > helsinki
luke4,uw-174393-open,23,open,Luke 4:29,人们如何试图杀死耶稣？,1.0,nllb-200-1.3B > llm_prompt_high=llm_prompt_low=llm_prompt_medium=mBART-50=nllb-200-distilled-600M > google_word_by_word=helsinki
luke4,uw-174394-open,25,open,Luke 4:30,耶稣如何避免被杀？,1.0,llm_prompt_high > llm_prompt_low > helsinki > google_word_by_word=llm_prompt_medium=nllb-200-distilled-600M > mBART-50=nllb-200-1.3B
luke4,uw-174395-open,27,open,Luke 4:34,鬼魔知道关于耶稣什么？,1.0,google_word_by_word=mBART-50 > llm_prompt_high=llm_prompt_low=nllb-200-distilled-600M > llm_prompt_medium=nllb-200-1.3B > helsinki
luke4,uw-174398-open,35,open,Luke 4:41,被赶出的鬼魔说了什么？,1.0,helsinki=nllb-200-distilled-600M > llm_prompt_high=llm_prompt_medium > google_word_by_word=llm_prompt_low=nllb-200-1.3B > mBART-50
luke4,uw-174398-open,37,open,Luke 4:41,耶稣为何让鬼魔保持沉默？,1.0,nllb-200-1.3B > google_word_by_word > helsinki > llm_prompt_high=llm_prompt_low=llm_prompt_medium=nllb-200-distilled-600M > mBART-50
luke4,uw-174399-open,39,open,Luke 4:43,耶稣为什么被差遣？,1.0,nllb-200-distilled-600M > google_word_by_word=llm_prompt_high=llm_prompt_low=llm_prompt_medium=nllb-200-1.3B > helsinki > mBART-50
luke4,uw-174399-mcq,40,mcq,Luke 4:43,耶稣为什么被差遣？,1.0,llm_prompt_high > google_word_by_word=llm_prompt_low=llm_prompt_medium=nllb-200-1.3B=nllb-200-distilled-600M > mBART-50 > helsinki
luke4,uw-174398-open,43,open,Luke 4:41,恶魔被驱逐时说什么？,1.0,helsinki > nllb-200-distilled-600M > llm_prompt_high > google_word_by_word=llm_prompt_low=llm_prompt_medium=mBART-50=nllb-200-1.3B
luke5,uw-174400-open,1,open,Luke 5:4,人物己 吩咐西门做什么？,1.0,llm_prompt_high=llm_prompt_low > mBART-50 > google_word_by_word=llm_prompt_medium=nllb-200-1.3B=nllb-200-distilled-600M > helsinki
luke5,uw-174402-open,5,open,Luke 5:6,他们放下网之后发生了什么？,1.0,helsinki=nllb-200-1.3B > llm_prompt_low=mBART-50=nllb-200-distilled-600M > llm_prompt_medium > google_word_by_word=llm_prompt_high
luke5,uw-174403-open,7,open,Luke 5:8,西门希望人物己做什么？,1.0,llm_prompt_high=nllb-200-1.3B > google_word_by_word=helsinki=llm_prompt_low=nllb-200-distilled-600M > llm_prompt_medium > mBART-50
luke5,uw-174404-mcq,12,mcq,Luke 5:10,人物己说西门将来会做什么？,1.0,nllb-200-1.3B > llm_prompt_high=nllb-200-distilled-600M > llm_prompt_low > google_word_by_word=helsinki=llm_prompt_medium=mBART-50
luke5,uw-174409-open,19,open,Luke 5:32,人物己说他来的目的是什么？,1.0,llm_prompt_high > llm_prompt_low=llm_prompt_medium=nllb-200-1.3B=nllb-200-distilled-600M > helsinki=mBART-50 > google_word_by_word
